[INFO] Creating 12 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30 minutes for 8M steps!
[INFO] VANILLA MODE: No reward shaping!

============================================================
[START] VANILLA TRAINING
============================================================

[EPISODE 177] Step: 35,004 | Reward: 4.96 | Avg-100: -68.57
[EPISODE 178] Step: 35,220 | Reward: -39.70 | Avg-100: -68.59
[EPISODE 179] Step: 35,604 | Reward: -11.18 | Avg-100: -68.39
[EPISODE 180] Step: 36,276 | Reward: -23.46 | Avg-100: -67.63
[EPISODE 181] Step: 36,312 | Reward: -54.89 | Avg-100: -68.04
[EPISODE 182] Step: 36,444 | Reward: -48.92 | Avg-100: -68.31
[BEST MODEL] New record! Avg Reward: -68.31
[EPISODE 183] Step: 36,876 | Reward: -13.36 | Avg-100: -68.12
[EPISODE 184] Step: 36,924 | Reward: 7.31 | Avg-100: -67.32
[EPISODE 185] Step: 37,476 | Reward: -302.78 | Avg-100: -70.17
[EPISODE 186] Step: 37,512 | Reward: -129.38 | Avg-100: -70.63
[EPISODE 187] Step: 37,632 | Reward: -5.39 | Avg-100: -70.82
[EPISODE 188] Step: 37,860 | Reward: -74.71 | Avg-100: -70.45
[EPISODE 189] Step: 37,896 | Reward: -16.82 | Avg-100: -70.46
[EPISODE 190] Step: 37,956 | Reward: -2.08 | Avg-100: -69.91
[EPISODE 191] Step: 38,040 | Reward: -125.17 | Avg-100: -70.31
[EPISODE 192] Step: 38,148 | Reward: -14.96 | Avg-100: -69.76
[EPISODE 193] Step: 38,244 | Reward: -38.36 | Avg-100: -69.90
[EPISODE 194] Step: 38,256 | Reward: -2.39 | Avg-100: -69.97
[EPISODE 195] Step: 38,424 | Reward: -11.67 | Avg-100: -69.65
[EPISODE 196] Step: 38,736 | Reward: -8.73 | Avg-100: -69.53
[EPISODE 197] Step: 38,808 | Reward: 1.45 | Avg-100: -69.17
[EPISODE 198] Step: 38,820 | Reward: -306.14 | Avg-100: -71.97
[EPISODE 199] Step: 38,880 | Reward: 16.76 | Avg-100: -70.42
[EPISODE 200] Step: 39,024 | Reward: 4.03 | Avg-100: -69.98
[EPISODE 201] Step: 39,132 | Reward: -5.92 | Avg-100: -69.16
[EPISODE 202] Step: 39,648 | Reward: -39.78 | Avg-100: -69.45
[EPISODE 203] Step: 40,248 | Reward: -296.14 | Avg-100: -72.07
[EPISODE 204] Step: 41,112 | Reward: -2.97 | Avg-100: -71.92
[EPISODE 205] Step: 41,328 | Reward: -24.76 | Avg-100: -72.20
[EPISODE 206] Step: 41,412 | Reward: -265.68 | Avg-100: -74.47
[EPISODE 207] Step: 41,976 | Reward: 3.57 | Avg-100: -72.79
[EPISODE 208] Step: 42,060 | Reward: 3.77 | Avg-100: -68.47
[EPISODE 209] Step: 42,372 | Reward: -69.41 | Avg-100: -68.57
[EPISODE 210] Step: 42,432 | Reward: -92.09 | Avg-100: -66.72
[EPISODE 211] Step: 42,672 | Reward: -239.12 | Avg-100: -68.98
[EPISODE 212] Step: 43,008 | Reward: -0.99 | Avg-100: -67.96
[BEST MODEL] New record! Avg Reward: -67.96
[EPISODE 213] Step: 43,032 | Reward: -192.54 | Avg-100: -68.56
[EPISODE 214] Step: 43,272 | Reward: -70.75 | Avg-100: -69.42
[EPISODE 215] Step: 43,332 | Reward: -7.66 | Avg-100: -69.23
[EPISODE 216] Step: 43,692 | Reward: -14.20 | Avg-100: -68.90
[EPISODE 217] Step: 43,848 | Reward: 1.74 | Avg-100: -67.08
[EPISODE 218] Step: 43,992 | Reward: -25.12 | Avg-100: -65.08
[EPISODE 219] Step: 44,544 | Reward: 52.76 | Avg-100: -60.12
[EPISODE 220] Step: 44,568 | Reward: -24.67 | Avg-100: -60.42
[EPISODE 221] Step: 44,736 | Reward: 6.08 | Avg-100: -58.97
[EPISODE 222] Step: 44,868 | Reward: -307.59 | Avg-100: -61.40
[EPISODE 223] Step: 44,904 | Reward: -39.87 | Avg-100: -61.45
[EPISODE 224] Step: 45,072 | Reward: -53.84 | Avg-100: -59.05
[EPISODE 225] Step: 45,096 | Reward: -4.79 | Avg-100: -58.63
[EPISODE 226] Step: 45,324 | Reward: -32.73 | Avg-100: -59.01
[EPISODE 227] Step: 46,044 | Reward: -0.69 | Avg-100: -57.75
[EPISODE 228] Step: 46,212 | Reward: -19.10 | Avg-100: -54.16
[EPISODE 229] Step: 47,568 | Reward: -109.65 | Avg-100: -54.79
[EPISODE 230] Step: 47,676 | Reward: -42.94 | Avg-100: -54.99
[EPISODE 231] Step: 47,700 | Reward: -75.50 | Avg-100: -55.63
[EPISODE 232] Step: 48,516 | Reward: -133.89 | Avg-100: -54.00
[EPISODE 233] Step: 49,080 | Reward: -20.27 | Avg-100: -54.02
[BEST MODEL] New record! Avg Reward: -54.02
[EPISODE 234] Step: 49,356 | Reward: -15.40 | Avg-100: -53.96
[EPISODE 235] Step: 49,428 | Reward: -69.62 | Avg-100: -54.43
[EPISODE 236] Step: 49,512 | Reward: -197.66 | Avg-100: -56.14
[EPISODE 237] Step: 49,524 | Reward: -5.70 | Avg-100: -55.70
[EPISODE 238] Step: 49,704 | Reward: -8.38 | Avg-100: -55.25
[EPISODE 239] Step: 50,064 | Reward: -20.02 | Avg-100: -55.51
[EPISODE 240] Step: 50,148 | Reward: -222.48 | Avg-100: -57.72
[EPISODE 241] Step: 50,424 | Reward: 28.34 | Avg-100: -57.42
[EPISODE 242] Step: 50,628 | Reward: -9.88 | Avg-100: -57.39
[EPISODE 243] Step: 50,652 | Reward: -33.87 | Avg-100: -57.65
[EPISODE 244] Step: 50,820 | Reward: -211.85 | Avg-100: -59.48
[EPISODE 245] Step: 50,916 | Reward: -26.04 | Avg-100: -59.63
[EPISODE 246] Step: 50,928 | Reward: -21.00 | Avg-100: -56.17
[EPISODE 247] Step: 51,072 | Reward: -0.71 | Avg-100: -55.72
[EPISODE 248] Step: 51,264 | Reward: -26.02 | Avg-100: -56.00
