[INFO] Creating 16 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 16
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] HEIGHT STABILITY PENALTY MODE!
[INFO] Penalty Coefficient: 5.0 (strong anti-hopping!)

============================================================
[START] ANTI-HOPPING TRAINING (Height Stability Penalty!)
============================================================

[EPISODE 155] Step: 32,128 | Reward: -17.20 | Avg-100: -78.30 | Speed: 184178 steps/s
[EPISODE 156] Step: 32,688 | Reward: 2.09 | Avg-100: -78.14 | Speed: 110497 steps/s
[EPISODE 157] Step: 32,944 | Reward: -398.47 | Avg-100: -81.71 | Speed: 32626 steps/s
[EPISODE 158] Step: 32,976 | Reward: 24.75 | Avg-100: -80.71 | Speed: 2312185 steps/s
[EPISODE 159] Step: 33,040 | Reward: 5.49 | Avg-100: -80.63 | Speed: 1123000 steps/s
[EPISODE 160] Step: 33,264 | Reward: -303.17 | Avg-100: -83.30 | Speed: 330298 steps/s
[EPISODE 161] Step: 33,472 | Reward: -16.48 | Avg-100: -82.32 | Speed: 357595 steps/s
[EPISODE 162] Step: 33,840 | Reward: -24.99 | Avg-100: -82.54 | Speed: 203948 steps/s
[EPISODE 163] Step: 33,920 | Reward: -31.95 | Avg-100: -82.77 | Speed: 878269 steps/s
[EPISODE 164] Step: 34,176 | Reward: -16.39 | Avg-100: -82.30 | Speed: 271816 steps/s
[EPISODE 165] Step: 34,256 | Reward: -10.84 | Avg-100: -81.68 | Speed: 891735 steps/s
[EPISODE 166] Step: 34,592 | Reward: -2.38 | Avg-100: -81.28 | Speed: 214683 steps/s
[EPISODE 167] Step: 34,992 | Reward: -39.72 | Avg-100: -81.50 | Speed: 175437 steps/s
[EPISODE 168] Step: 35,680 | Reward: -104.69 | Avg-100: -81.63 | Speed: 107512 steps/s
[EPISODE 169] Step: 35,856 | Reward: -82.93 | Avg-100: -81.24 | Speed: 415268 steps/s
[EPISODE 170] Step: 35,968 | Reward: -381.37 | Avg-100: -84.80 | Speed: 671370 steps/s
[EPISODE 171] Step: 36,480 | Reward: -22.14 | Avg-100: -84.54 | Speed: 142427 steps/s
[EPISODE 172] Step: 37,040 | Reward: -331.25 | Avg-100: -86.90 | Speed: 130223 steps/s
[EPISODE 173] Step: 37,120 | Reward: 2.37 | Avg-100: -86.68 | Speed: 900330 steps/s
[EPISODE 174] Step: 37,216 | Reward: -2.27 | Avg-100: -86.69 | Speed: 758231 steps/s
[EPISODE 175] Step: 37,248 | Reward: -321.64 | Avg-100: -89.18 | Speed: 2107934 steps/s
[EPISODE 176] Step: 37,392 | Reward: -59.61 | Avg-100: -89.57 | Speed: 500189 steps/s
[EPISODE 177] Step: 37,536 | Reward: 1.30 | Avg-100: -89.23 | Speed: 526219 steps/s
[EPISODE 178] Step: 37,824 | Reward: -142.12 | Avg-100: -89.34 | Speed: 256440 steps/s
[EPISODE 179] Step: 38,224 | Reward: -104.42 | Avg-100: -90.25 | Speed: 183244 steps/s
[EPISODE 180] Step: 38,336 | Reward: -35.74 | Avg-100: -90.78 | Speed: 587670 steps/s
[EPISODE 181] Step: 38,480 | Reward: -138.83 | Avg-100: -91.73 | Speed: 476745 steps/s
[EPISODE 182] Step: 39,168 | Reward: -44.93 | Avg-100: -90.63 | Speed: 97301 steps/s
[EPISODE 183] Step: 39,312 | Reward: -291.99 | Avg-100: -88.21 | Speed: 406162 steps/s
[EPISODE 184] Step: 39,456 | Reward: 19.27 | Avg-100: -82.50 | Speed: 454403 steps/s
[EPISODE 185] Step: 39,744 | Reward: -46.97 | Avg-100: -82.34 | Speed: 238084 steps/s
[EPISODE 186] Step: 39,808 | Reward: -10.41 | Avg-100: -82.32 | Speed: 1108335 steps/s
[EPISODE 187] Step: 39,808 | Reward: -83.37 | Avg-100: -82.40 | Speed: 0 steps/s
[EPISODE 188] Step: 39,840 | Reward: -268.95 | Avg-100: -85.18 | Speed: 1281807 steps/s
