[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 5,000,000
[INFO] Energy Efficiency: ON (action_penalty=0.01, jerk_penalty=0.05)

============================================================
[START] ENERGY-EFFICIENT TRAINING STARTED
============================================================

[EPISODE 79] Step: 14,819 | Reward: 13.86 | Avg-100: -95.44
[EPISODE 80] Step: 14,955 | Reward: -90.15 | Avg-100: -95.38
[EPISODE 81] Step: 14,990 | Reward: 6.51 | Avg-100: -94.12
[EPISODE 82] Step: 15,146 | Reward: -50.71 | Avg-100: -93.59
[EPISODE 83] Step: 15,226 | Reward: 14.34 | Avg-100: -92.29
[EPISODE 84] Step: 15,606 | Reward: -187.47 | Avg-100: -93.42
[EPISODE 85] Step: 15,723 | Reward: -45.26 | Avg-100: -92.86
[EPISODE 86] Step: 16,723 | Reward: -461.83 | Avg-100: -97.15
[EPISODE 87] Step: 16,782 | Reward: -30.26 | Avg-100: -96.38
[EPISODE 88] Step: 16,816 | Reward: 6.63 | Avg-100: -95.21
[EPISODE 89] Step: 16,855 | Reward: -34.81 | Avg-100: -94.53
[EPISODE 90] Step: 16,924 | Reward: -9.82 | Avg-100: -93.59
[EPISODE 91] Step: 17,022 | Reward: -86.34 | Avg-100: -93.51
[EPISODE 92] Step: 17,080 | Reward: -25.26 | Avg-100: -92.77
[EPISODE 93] Step: 18,080 | Reward: -491.05 | Avg-100: -97.05
[EPISODE 94] Step: 18,248 | Reward: -81.61 | Avg-100: -96.88
[EPISODE 95] Step: 18,294 | Reward: -18.74 | Avg-100: -96.06
[EPISODE 96] Step: 18,308 | Reward: -13.95 | Avg-100: -95.21
[EPISODE 97] Step: 18,493 | Reward: -92.77 | Avg-100: -95.18
[EPISODE 98] Step: 18,508 | Reward: -7.63 | Avg-100: -94.29
[EPISODE 99] Step: 18,736 | Reward: -84.15 | Avg-100: -94.19
[EPISODE 100] Step: 18,856 | Reward: -43.15 | Avg-100: -93.68
[EPISODE 101] Step: 18,886 | Reward: -9.60 | Avg-100: -93.02
[EPISODE 102] Step: 18,949 | Reward: 6.84 | Avg-100: -92.81
[EPISODE 103] Step: 19,949 | Reward: -499.37 | Avg-100: -97.17
[EPISODE 104] Step: 20,153 | Reward: -57.10 | Avg-100: -93.15
[EPISODE 105] Step: 20,179 | Reward: -13.58 | Avg-100: -92.85
[EPISODE 106] Step: 20,293 | Reward: -85.34 | Avg-100: -93.00
[EPISODE 107] Step: 20,311 | Reward: -10.66 | Avg-100: -88.59
[EPISODE 108] Step: 20,331 | Reward: -3.01 | Avg-100: -88.42
[EPISODE 109] Step: 20,424 | Reward: -51.35 | Avg-100: -87.97
[BEST MODEL] New record! Avg Reward: -87.97
[EPISODE 110] Step: 20,481 | Reward: -16.50 | Avg-100: -88.06
[EPISODE 111] Step: 20,540 | Reward: -41.19 | Avg-100: -87.71
[EPISODE 112] Step: 20,724 | Reward: -78.14 | Avg-100: -88.31
[EPISODE 113] Step: 20,771 | Reward: -9.24 | Avg-100: -87.85
[EPISODE 114] Step: 21,771 | Reward: -369.24 | Avg-100: -90.73
[EPISODE 115] Step: 21,946 | Reward: -77.27 | Avg-100: -91.11
[EPISODE 116] Step: 22,065 | Reward: -89.06 | Avg-100: -91.08
[EPISODE 117] Step: 22,082 | Reward: -7.34 | Avg-100: -91.21
[EPISODE 118] Step: 22,118 | Reward: -15.97 | Avg-100: -89.87
[EPISODE 119] Step: 23,118 | Reward: -459.09 | Avg-100: -94.43
[EPISODE 120] Step: 24,118 | Reward: -466.07 | Avg-100: -96.98
[EPISODE 121] Step: 24,177 | Reward: -25.89 | Avg-100: -96.45
