[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] MINIMAL MODE - Original reward + small healthy bonus!

============================================================
[START] MINIMAL TRAINING STARTED
============================================================

[EPISODE 1] Step: 117 | Reward: -331.09 | Avg-100: -331.09
[EPISODE 2] Step: 152 | Reward: -88.61 | Avg-100: -209.85
[EPISODE 3] Step: 200 | Reward: -142.36 | Avg-100: -187.35
[EPISODE 4] Step: 316 | Reward: -449.07 | Avg-100: -252.78
[EPISODE 5] Step: 348 | Reward: -66.87 | Avg-100: -215.60
[EPISODE 6] Step: 394 | Reward: -105.42 | Avg-100: -197.23
[EPISODE 7] Step: 468 | Reward: -191.34 | Avg-100: -196.39
[EPISODE 8] Step: 487 | Reward: -46.72 | Avg-100: -177.68
[EPISODE 9] Step: 511 | Reward: -77.75 | Avg-100: -166.58
[EPISODE 10] Step: 553 | Reward: -148.97 | Avg-100: -164.82
[EPISODE 11] Step: 583 | Reward: -90.66 | Avg-100: -158.08
[EPISODE 12] Step: 611 | Reward: -110.29 | Avg-100: -154.09
[EPISODE 13] Step: 678 | Reward: -189.97 | Avg-100: -156.85
[EPISODE 14] Step: 1,678 | Reward: -2878.10 | Avg-100: -351.23
[EPISODE 15] Step: 1,702 | Reward: -69.24 | Avg-100: -332.43
[EPISODE 16] Step: 1,727 | Reward: -50.14 | Avg-100: -314.79
[EPISODE 17] Step: 1,804 | Reward: -204.25 | Avg-100: -308.28
[EPISODE 18] Step: 1,823 | Reward: -80.93 | Avg-100: -295.65
[EPISODE 19] Step: 1,846 | Reward: -84.90 | Avg-100: -284.56
[EPISODE 20] Step: 1,878 | Reward: -91.04 | Avg-100: -274.89
[EPISODE 21] Step: 2,010 | Reward: -377.66 | Avg-100: -279.78
[EPISODE 22] Step: 2,168 | Reward: -463.65 | Avg-100: -288.14
[EPISODE 23] Step: 2,187 | Reward: -46.02 | Avg-100: -277.61
[EPISODE 24] Step: 2,199 | Reward: -27.37 | Avg-100: -267.18
[EPISODE 25] Step: 2,228 | Reward: -71.80 | Avg-100: -259.37
[EPISODE 26] Step: 2,269 | Reward: -115.12 | Avg-100: -253.82
[EPISODE 27] Step: 2,325 | Reward: -218.34 | Avg-100: -252.51
[EPISODE 28] Step: 2,340 | Reward: -38.36 | Avg-100: -244.86
[EPISODE 29] Step: 2,404 | Reward: -191.51 | Avg-100: -243.02
[EPISODE 30] Step: 2,465 | Reward: -178.43 | Avg-100: -240.86
[EPISODE 31] Step: 2,509 | Reward: -184.78 | Avg-100: -239.06
[EPISODE 32] Step: 2,550 | Reward: -106.38 | Avg-100: -234.91
[EPISODE 33] Step: 2,564 | Reward: -27.51 | Avg-100: -228.62
[EPISODE 34] Step: 2,675 | Reward: -359.85 | Avg-100: -232.48
[EPISODE 35] Step: 2,733 | Reward: -208.64 | Avg-100: -231.80
[EPISODE 36] Step: 2,833 | Reward: -274.62 | Avg-100: -232.99
[EPISODE 37] Step: 2,844 | Reward: -39.70 | Avg-100: -227.77
[EPISODE 38] Step: 2,858 | Reward: -44.26 | Avg-100: -222.94
[EPISODE 39] Step: 2,893 | Reward: -113.83 | Avg-100: -220.14
[EPISODE 40] Step: 3,115 | Reward: -718.00 | Avg-100: -232.59
[EPISODE 41] Step: 3,200 | Reward: -210.43 | Avg-100: -232.05
[EPISODE 42] Step: 3,244 | Reward: -98.95 | Avg-100: -228.88
[EPISODE 43] Step: 3,256 | Reward: -19.39 | Avg-100: -224.01
[EPISODE 44] Step: 3,345 | Reward: -293.28 | Avg-100: -225.58
[EPISODE 45] Step: 3,364 | Reward: -47.30 | Avg-100: -221.62
[EPISODE 46] Step: 3,399 | Reward: -113.06 | Avg-100: -219.26
[EPISODE 47] Step: 3,451 | Reward: -159.17 | Avg-100: -217.98
[EPISODE 48] Step: 3,480 | Reward: -69.11 | Avg-100: -214.88
[EPISODE 49] Step: 3,499 | Reward: -43.29 | Avg-100: -211.38
[EPISODE 50] Step: 3,518 | Reward: -63.99 | Avg-100: -208.43
[EPISODE 51] Step: 3,623 | Reward: -278.27 | Avg-100: -209.80
[EPISODE 52] Step: 3,651 | Reward: -97.12 | Avg-100: -207.63
[EPISODE 53] Step: 3,679 | Reward: -85.16 | Avg-100: -205.32
[EPISODE 54] Step: 3,768 | Reward: -257.79 | Avg-100: -206.29
[EPISODE 55] Step: 3,782 | Reward: -46.72 | Avg-100: -203.39
[EPISODE 56] Step: 3,824 | Reward: -120.13 | Avg-100: -201.90
[EPISODE 57] Step: 3,849 | Reward: -17.90 | Avg-100: -198.68
[EPISODE 58] Step: 3,934 | Reward: -184.24 | Avg-100: -198.43
[EPISODE 59] Step: 3,973 | Reward: -110.48 | Avg-100: -196.94
[EPISODE 60] Step: 4,207 | Reward: -695.49 | Avg-100: -205.25
[EPISODE 61] Step: 4,389 | Reward: -502.92 | Avg-100: -210.13
[EPISODE 62] Step: 4,428 | Reward: -145.87 | Avg-100: -209.09
[EPISODE 63] Step: 4,477 | Reward: -149.63 | Avg-100: -208.15
[EPISODE 64] Step: 4,507 | Reward: -111.13 | Avg-100: -206.63
[EPISODE 65] Step: 4,533 | Reward: -31.79 | Avg-100: -203.94
[EPISODE 66] Step: 4,628 | Reward: -296.85 | Avg-100: -205.35
