[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000

============================================================
[START] TRAINING STARTED
============================================================

[EPISODE 81] Step: 6,925 | Reward: -59.69 | Avg-100: -259.56
[EPISODE 82] Step: 6,991 | Reward: -141.98 | Avg-100: -258.12
[EPISODE 83] Step: 7,033 | Reward: -134.26 | Avg-100: -256.63
[EPISODE 84] Step: 7,069 | Reward: -98.67 | Avg-100: -254.75
[EPISODE 85] Step: 7,079 | Reward: -37.91 | Avg-100: -252.20
[EPISODE 86] Step: 7,140 | Reward: -170.82 | Avg-100: -251.25
[EPISODE 87] Step: 7,200 | Reward: -114.00 | Avg-100: -249.67
[EPISODE 88] Step: 7,263 | Reward: -162.99 | Avg-100: -248.69
[EPISODE 89] Step: 7,313 | Reward: -199.66 | Avg-100: -248.14
[EPISODE 90] Step: 8,313 | Reward: -3101.80 | Avg-100: -279.85
[EPISODE 91] Step: 8,345 | Reward: -83.39 | Avg-100: -277.69
[EPISODE 92] Step: 8,483 | Reward: -401.98 | Avg-100: -279.04
[EPISODE 93] Step: 8,551 | Reward: -227.15 | Avg-100: -278.48
[EPISODE 94] Step: 8,573 | Reward: -103.95 | Avg-100: -276.62
[EPISODE 95] Step: 8,600 | Reward: -93.60 | Avg-100: -274.70
[EPISODE 96] Step: 8,736 | Reward: -413.36 | Avg-100: -276.14
[EPISODE 97] Step: 8,794 | Reward: -136.73 | Avg-100: -274.70
[EPISODE 98] Step: 8,834 | Reward: -51.02 | Avg-100: -272.42
[EPISODE 99] Step: 8,888 | Reward: -152.00 | Avg-100: -271.21
[EPISODE 100] Step: 8,930 | Reward: -115.37 | Avg-100: -269.65
[EPISODE 101] Step: 9,001 | Reward: -124.44 | Avg-100: -270.36
[EPISODE 102] Step: 10,001 | Reward: -3091.87 | Avg-100: -300.03
[EPISODE 103] Step: 10,027 | Reward: -86.17 | Avg-100: -299.82
[EPISODE 104] Step: 10,078 | Reward: -174.27 | Avg-100: -301.35
[EPISODE 105] Step: 10,107 | Reward: -96.09 | Avg-100: -299.84
[EPISODE 106] Step: 10,158 | Reward: -150.25 | Avg-100: -299.22
[EPISODE 107] Step: 10,173 | Reward: -33.08 | Avg-100: -298.67
[EPISODE 108] Step: 10,236 | Reward: -202.57 | Avg-100: -295.41
[BEST MODEL] New record! Avg Reward: -295.41
[EPISODE 109] Step: 10,253 | Reward: -52.16 | Avg-100: -293.31
[EPISODE 110] Step: 10,303 | Reward: -187.73 | Avg-100: -293.96
[EPISODE 111] Step: 10,357 | Reward: -157.24 | Avg-100: -292.50
[EPISODE 112] Step: 10,394 | Reward: -146.83 | Avg-100: -291.36
[EPISODE 113] Step: 10,432 | Reward: -100.76 | Avg-100: -292.01
[EPISODE 114] Step: 10,530 | Reward: -270.62 | Avg-100: -292.22
[EPISODE 115] Step: 10,544 | Reward: -39.67 | Avg-100: -291.57
[EPISODE 116] Step: 10,591 | Reward: -132.16 | Avg-100: -292.40
[EPISODE 117] Step: 10,610 | Reward: -77.12 | Avg-100: -291.18
[EPISODE 118] Step: 10,653 | Reward: -141.04 | Avg-100: -291.02
[EPISODE 119] Step: 10,710 | Reward: -177.36 | Avg-100: -290.34
[EPISODE 120] Step: 10,737 | Reward: -146.26 | Avg-100: -261.05
[EPISODE 121] Step: 10,748 | Reward: -39.34 | Avg-100: -260.51
[EPISODE 122] Step: 10,791 | Reward: -128.82 | Avg-100: -261.25
[EPISODE 123] Step: 10,819 | Reward: -65.01 | Avg-100: -261.33
[EPISODE 124] Step: 10,834 | Reward: -46.37 | Avg-100: -259.57
[EPISODE 125] Step: 10,881 | Reward: -114.70 | Avg-100: -257.50
[EPISODE 126] Step: 10,899 | Reward: -63.14 | Avg-100: -257.55
[EPISODE 127] Step: 10,917 | Reward: -32.95 | Avg-100: -256.33
[EPISODE 128] Step: 10,963 | Reward: -121.23 | Avg-100: -249.08
[EPISODE 129] Step: 10,984 | Reward: -46.72 | Avg-100: -248.48
[EPISODE 130] Step: 11,011 | Reward: -79.02 | Avg-100: -220.61
[EPISODE 131] Step: 11,050 | Reward: -115.71 | Avg-100: -219.41
[EPISODE 132] Step: 11,170 | Reward: -390.34 | Avg-100: -222.20
[EPISODE 133] Step: 11,227 | Reward: -179.40 | Avg-100: -222.75
[EPISODE 134] Step: 11,272 | Reward: -111.25 | Avg-100: -223.24
[EPISODE 135] Step: 11,329 | Reward: -206.31 | Avg-100: -223.08
[EPISODE 136] Step: 11,347 | Reward: -43.24 | Avg-100: -222.75
[EPISODE 137] Step: 11,361 | Reward: -64.52 | Avg-100: -222.50
[EPISODE 138] Step: 11,440 | Reward: -270.67 | Avg-100: -222.97
[EPISODE 139] Step: 11,507 | Reward: -162.02 | Avg-100: -223.73
[EPISODE 140] Step: 11,524 | Reward: -48.33 | Avg-100: -222.87
[EPISODE 141] Step: 11,555 | Reward: -102.34 | Avg-100: -219.47
[EPISODE 142] Step: 11,581 | Reward: -61.06 | Avg-100: -219.46
[EPISODE 143] Step: 11,619 | Reward: -135.76 | Avg-100: -220.21
[EPISODE 144] Step: 11,665 | Reward: -147.69 | Avg-100: -219.77
[EPISODE 145] Step: 11,682 | Reward: -48.23 | Avg-100: -219.46
[EPISODE 146] Step: 11,759 | Reward: -235.08 | Avg-100: -221.29
[EPISODE 147] Step: 11,824 | Reward: -231.91 | Avg-100: -222.22
[EPISODE 148] Step: 11,876 | Reward: -196.85 | Avg-100: -223.61
[EPISODE 149] Step: 11,890 | Reward: -29.50 | Avg-100: -222.88
[EPISODE 150] Step: 11,916 | Reward: -57.35 | Avg-100: -222.83
[EPISODE 151] Step: 11,960 | Reward: -121.85 | Avg-100: -223.75
[EPISODE 152] Step: 11,995 | Reward: -120.23 | Avg-100: -221.82
[EPISODE 153] Step: 12,066 | Reward: -190.08 | Avg-100: -222.97
[EPISODE 154] Step: 12,119 | Reward: -149.82 | Avg-100: -223.68
[EPISODE 155] Step: 12,276 | Reward: -414.81 | Avg-100: -226.00
[BEST MODEL] New record! Avg Reward: -226.00
[EPISODE 156] Step: 12,353 | Reward: -295.31 | Avg-100: -228.45
[EPISODE 157] Step: 12,384 | Reward: -85.53 | Avg-100: -222.88
[EPISODE 158] Step: 12,413 | Reward: -100.29 | Avg-100: -222.15
[EPISODE 159] Step: 12,455 | Reward: -103.10 | Avg-100: -222.05
[EPISODE 160] Step: 12,490 | Reward: -102.79 | Avg-100: -221.74
[EPISODE 161] Step: 12,516 | Reward: -84.22 | Avg-100: -221.27
[EPISODE 162] Step: 12,535 | Reward: -51.28 | Avg-100: -220.53
[EPISODE 163] Step: 13,535 | Reward: -3306.29 | Avg-100: -248.95
[EPISODE 164] Step: 13,571 | Reward: -127.31 | Avg-100: -249.76
[EPISODE 165] Step: 13,639 | Reward: -193.35 | Avg-100: -250.23
[EPISODE 166] Step: 13,672 | Reward: -49.53 | Avg-100: -250.33
[EPISODE 167] Step: 13,772 | Reward: -328.00 | Avg-100: -253.30
[EPISODE 168] Step: 13,801 | Reward: -84.76 | Avg-100: -252.05
[EPISODE 169] Step: 13,818 | Reward: -83.70 | Avg-100: -251.51
[EPISODE 170] Step: 13,838 | Reward: -65.48 | Avg-100: -250.98
[EPISODE 171] Step: 13,858 | Reward: -85.93 | Avg-100: -251.21
[EPISODE 172] Step: 13,928 | Reward: -240.67 | Avg-100: -251.30
[EPISODE 173] Step: 13,944 | Reward: -62.16 | Avg-100: -251.53
[EPISODE 174] Step: 14,116 | Reward: -501.01 | Avg-100: -255.83
[EPISODE 175] Step: 14,173 | Reward: -195.47 | Avg-100: -257.13
[EPISODE 176] Step: 14,222 | Reward: -163.95 | Avg-100: -227.73
[EPISODE 177] Step: 14,258 | Reward: -94.71 | Avg-100: -227.90
[EPISODE 178] Step: 14,306 | Reward: -134.59 | Avg-100: -228.15
[EPISODE 179] Step: 14,357 | Reward: -177.35 | Avg-100: -229.18
[EPISODE 180] Step: 14,390 | Reward: -83.80 | Avg-100: -229.60
[EPISODE 181] Step: 14,472 | Reward: -258.08 | Avg-100: -231.59
[EPISODE 182] Step: 14,501 | Reward: -119.79 | Avg-100: -231.36
[EPISODE 183] Step: 14,523 | Reward: -88.48 | Avg-100: -230.91
[EPISODE 184] Step: 14,555 | Reward: -100.88 | Avg-100: -230.93
[EPISODE 185] Step: 15,555 | Reward: -3359.51 | Avg-100: -264.14
[EPISODE 186] Step: 15,575 | Reward: -53.48 | Avg-100: -262.97
[EPISODE 187] Step: 15,648 | Reward: -240.82 | Avg-100: -264.24
[EPISODE 188] Step: 15,667 | Reward: -73.74 | Avg-100: -263.35
[EPISODE 189] Step: 15,712 | Reward: -137.51 | Avg-100: -262.73
[EPISODE 190] Step: 15,780 | Reward: -238.16 | Avg-100: -234.09
[EPISODE 191] Step: 16,780 | Reward: -3541.24 | Avg-100: -268.67
[EPISODE 192] Step: 16,824 | Reward: -120.61 | Avg-100: -265.85
[EPISODE 193] Step: 16,844 | Reward: -96.94 | Avg-100: -264.55
[EPISODE 194] Step: 16,862 | Reward: -51.54 | Avg-100: -264.03
[EPISODE 195] Step: 16,880 | Reward: -64.21 | Avg-100: -263.73
[EPISODE 196] Step: 16,912 | Reward: -122.45 | Avg-100: -260.82
[EPISODE 197] Step: 16,942 | Reward: -92.33 | Avg-100: -260.38
[EPISODE 198] Step: 16,970 | Reward: -113.53 | Avg-100: -261.01
[EPISODE 199] Step: 17,002 | Reward: -91.15 | Avg-100: -260.40
[EPISODE 200] Step: 17,020 | Reward: -68.59 | Avg-100: -259.93
[EPISODE 201] Step: 17,081 | Reward: -226.56 | Avg-100: -260.95
[EPISODE 202] Step: 17,104 | Reward: -56.06 | Avg-100: -230.59
[EPISODE 203] Step: 17,127 | Reward: -69.47 | Avg-100: -230.43
[EPISODE 204] Step: 17,194 | Reward: -200.40 | Avg-100: -230.69
[EPISODE 205] Step: 17,248 | Reward: -233.41 | Avg-100: -232.06
[EPISODE 206] Step: 17,272 | Reward: -57.93 | Avg-100: -231.14
[EPISODE 207] Step: 17,285 | Reward: -39.90 | Avg-100: -231.21
[EPISODE 208] Step: 17,352 | Reward: -284.45 | Avg-100: -232.02
[EPISODE 209] Step: 17,460 | Reward: -378.77 | Avg-100: -235.29
[EPISODE 210] Step: 17,511 | Reward: -214.21 | Avg-100: -235.56
[EPISODE 211] Step: 17,606 | Reward: -382.76 | Avg-100: -237.81
[EPISODE 212] Step: 17,622 | Reward: -57.41 | Avg-100: -236.92
[EPISODE 213] Step: 17,649 | Reward: -83.21 | Avg-100: -236.74
[EPISODE 214] Step: 17,677 | Reward: -77.63 | Avg-100: -234.81
[EPISODE 215] Step: 17,738 | Reward: -203.25 | Avg-100: -236.45
[EPISODE 216] Step: 17,764 | Reward: -90.51 | Avg-100: -236.03
[EPISODE 217] Step: 18,764 | Reward: -3515.09 | Avg-100: -270.41
[EPISODE 218] Step: 18,787 | Reward: -90.43 | Avg-100: -269.90
[EPISODE 219] Step: 18,814 | Reward: -84.00 | Avg-100: -268.97
[EPISODE 220] Step: 18,919 | Reward: -337.31 | Avg-100: -270.88
[EPISODE 221] Step: 18,947 | Reward: -124.15 | Avg-100: -271.73
[EPISODE 222] Step: 18,974 | Reward: -98.08 | Avg-100: -271.42
[EPISODE 223] Step: 19,004 | Reward: -111.94 | Avg-100: -271.89
[EPISODE 224] Step: 19,050 | Reward: -143.89 | Avg-100: -272.87
[EPISODE 225] Step: 19,083 | Reward: -117.06 | Avg-100: -272.89
[EPISODE 226] Step: 19,115 | Reward: -98.55 | Avg-100: -273.24
[EPISODE 227] Step: 19,124 | Reward: -50.39 | Avg-100: -273.42
[EPISODE 228] Step: 19,154 | Reward: -106.41 | Avg-100: -273.27
