[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] MINIMAL MODE - Original reward + small healthy bonus!

============================================================
[START] MINIMAL TRAINING STARTED
============================================================

[EPISODE 1] Step: 104 | Reward: -321.87 | Avg-100: -321.87
[EPISODE 2] Step: 122 | Reward: -55.62 | Avg-100: -188.75
[EPISODE 3] Step: 153 | Reward: -116.71 | Avg-100: -164.74
[EPISODE 4] Step: 185 | Reward: -121.11 | Avg-100: -153.83
[EPISODE 5] Step: 199 | Reward: -29.92 | Avg-100: -129.05
[EPISODE 6] Step: 377 | Reward: -549.09 | Avg-100: -199.05
[EPISODE 7] Step: 444 | Reward: -209.16 | Avg-100: -200.50
[EPISODE 8] Step: 464 | Reward: -52.58 | Avg-100: -182.01
[EPISODE 9] Step: 670 | Reward: -555.18 | Avg-100: -223.47
[EPISODE 10] Step: 692 | Reward: -63.94 | Avg-100: -207.52
[EPISODE 11] Step: 706 | Reward: -40.17 | Avg-100: -192.31
[EPISODE 12] Step: 726 | Reward: -71.04 | Avg-100: -182.20
[EPISODE 13] Step: 746 | Reward: -65.37 | Avg-100: -173.21
[EPISODE 14] Step: 803 | Reward: -201.18 | Avg-100: -175.21
[EPISODE 15] Step: 849 | Reward: -135.12 | Avg-100: -172.54
[EPISODE 16] Step: 872 | Reward: -67.94 | Avg-100: -166.00
[EPISODE 17] Step: 918 | Reward: -176.86 | Avg-100: -166.64
[EPISODE 18] Step: 938 | Reward: -69.57 | Avg-100: -161.25
[EPISODE 19] Step: 998 | Reward: -222.64 | Avg-100: -164.48
[EPISODE 20] Step: 1,091 | Reward: -303.95 | Avg-100: -171.45
[EPISODE 21] Step: 1,151 | Reward: -160.43 | Avg-100: -170.93
[EPISODE 22] Step: 1,161 | Reward: -39.85 | Avg-100: -164.97
[EPISODE 23] Step: 1,226 | Reward: -207.86 | Avg-100: -166.83
[EPISODE 24] Step: 1,378 | Reward: -388.42 | Avg-100: -176.07
[EPISODE 25] Step: 1,390 | Reward: -40.26 | Avg-100: -170.63
[EPISODE 26] Step: 1,413 | Reward: -81.69 | Avg-100: -167.21
[EPISODE 27] Step: 1,457 | Reward: -108.66 | Avg-100: -165.04
[EPISODE 28] Step: 2,457 | Reward: -3022.21 | Avg-100: -267.09
[EPISODE 29] Step: 2,488 | Reward: -71.14 | Avg-100: -260.33
[EPISODE 30] Step: 2,528 | Reward: -129.57 | Avg-100: -255.97
[EPISODE 31] Step: 2,544 | Reward: -54.37 | Avg-100: -249.47
[EPISODE 32] Step: 2,560 | Reward: -47.25 | Avg-100: -243.15
[EPISODE 33] Step: 2,620 | Reward: -170.76 | Avg-100: -240.95
[EPISODE 34] Step: 2,749 | Reward: -356.31 | Avg-100: -244.35
[EPISODE 35] Step: 2,792 | Reward: -121.75 | Avg-100: -240.84
[EPISODE 36] Step: 2,832 | Reward: -98.27 | Avg-100: -236.88
[EPISODE 37] Step: 2,862 | Reward: -73.21 | Avg-100: -232.46
[EPISODE 38] Step: 2,921 | Reward: -224.19 | Avg-100: -232.24
[EPISODE 39] Step: 2,940 | Reward: -55.67 | Avg-100: -227.71
[EPISODE 40] Step: 3,054 | Reward: -329.13 | Avg-100: -230.25
[EPISODE 41] Step: 3,070 | Reward: -34.24 | Avg-100: -225.47
[EPISODE 42] Step: 3,210 | Reward: -368.10 | Avg-100: -228.87
