[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] MINIMAL MODE - Original reward + small healthy bonus!

============================================================
[START] MINIMAL TRAINING STARTED
============================================================

[EPISODE 1] Step: 73 | Reward: -58.57 | Avg-100: -58.57
[EPISODE 2] Step: 123 | Reward: -46.82 | Avg-100: -52.70
[EPISODE 3] Step: 229 | Reward: -12.15 | Avg-100: -39.18
[EPISODE 4] Step: 268 | Reward: -21.18 | Avg-100: -34.68
[EPISODE 5] Step: 405 | Reward: -82.76 | Avg-100: -44.30
[EPISODE 6] Step: 495 | Reward: -35.68 | Avg-100: -42.86
[EPISODE 7] Step: 1,495 | Reward: -458.73 | Avg-100: -102.27
[EPISODE 8] Step: 1,531 | Reward: -16.53 | Avg-100: -91.55
[EPISODE 9] Step: 2,531 | Reward: -460.95 | Avg-100: -132.60
[EPISODE 10] Step: 3,531 | Reward: -543.67 | Avg-100: -173.70
[EPISODE 11] Step: 3,564 | Reward: -25.53 | Avg-100: -160.23
[EPISODE 12] Step: 3,719 | Reward: -16.38 | Avg-100: -148.25
[EPISODE 13] Step: 3,852 | Reward: -70.66 | Avg-100: -142.28
[EPISODE 14] Step: 3,917 | Reward: -47.23 | Avg-100: -135.49
[EPISODE 15] Step: 3,934 | Reward: -16.55 | Avg-100: -127.56
[EPISODE 16] Step: 3,953 | Reward: -14.85 | Avg-100: -120.51
[EPISODE 17] Step: 4,090 | Reward: -70.39 | Avg-100: -117.57
[EPISODE 18] Step: 4,140 | Reward: -38.12 | Avg-100: -113.15
[EPISODE 19] Step: 5,140 | Reward: -497.76 | Avg-100: -133.39
[EPISODE 20] Step: 5,267 | Reward: -31.20 | Avg-100: -128.28
[EPISODE 21] Step: 5,457 | Reward: -81.59 | Avg-100: -126.06
[EPISODE 22] Step: 5,477 | Reward: -20.84 | Avg-100: -121.28
[EPISODE 23] Step: 5,609 | Reward: -56.91 | Avg-100: -118.48
[EPISODE 24] Step: 5,936 | Reward: -149.87 | Avg-100: -119.79
[EPISODE 25] Step: 6,936 | Reward: -433.27 | Avg-100: -132.33
[EPISODE 26] Step: 7,002 | Reward: 14.74 | Avg-100: -126.67
[EPISODE 27] Step: 7,029 | Reward: -6.53 | Avg-100: -122.22
[EPISODE 28] Step: 7,112 | Reward: -38.66 | Avg-100: -119.24
[EPISODE 29] Step: 7,256 | Reward: -72.85 | Avg-100: -117.64
[EPISODE 30] Step: 7,274 | Reward: 4.80 | Avg-100: -113.56
[EPISODE 31] Step: 7,292 | Reward: -11.55 | Avg-100: -110.27
[EPISODE 32] Step: 8,292 | Reward: -418.64 | Avg-100: -119.90
[EPISODE 33] Step: 8,509 | Reward: -121.64 | Avg-100: -119.96
[EPISODE 34] Step: 8,638 | Reward: -63.37 | Avg-100: -118.29
[EPISODE 35] Step: 8,653 | Reward: -9.71 | Avg-100: -115.19
[EPISODE 36] Step: 8,811 | Reward: -40.70 | Avg-100: -113.12
[EPISODE 37] Step: 8,884 | Reward: -14.68 | Avg-100: -110.46
[EPISODE 38] Step: 8,927 | Reward: -21.30 | Avg-100: -108.11
[EPISODE 39] Step: 8,946 | Reward: -6.33 | Avg-100: -105.50
[EPISODE 40] Step: 8,964 | Reward: -1.64 | Avg-100: -102.91
[EPISODE 41] Step: 9,002 | Reward: -29.61 | Avg-100: -101.12
[EPISODE 42] Step: 9,168 | Reward: -22.24 | Avg-100: -99.24
[EPISODE 43] Step: 9,520 | Reward: -99.44 | Avg-100: -99.24
[EPISODE 44] Step: 9,562 | Reward: -15.94 | Avg-100: -97.35
[EPISODE 45] Step: 9,596 | Reward: 2.06 | Avg-100: -95.14
[EPISODE 46] Step: 9,738 | Reward: -80.22 | Avg-100: -94.82
[EPISODE 47] Step: 9,771 | Reward: 1.55 | Avg-100: -92.77
[EPISODE 48] Step: 9,913 | Reward: -100.83 | Avg-100: -92.94
[EPISODE 49] Step: 10,033 | Reward: -60.20 | Avg-100: -92.27
[EPISODE 50] Step: 10,316 | Reward: -152.53 | Avg-100: -93.47
[EPISODE 51] Step: 10,352 | Reward: 3.91 | Avg-100: -91.56
[EPISODE 52] Step: 10,394 | Reward: -33.18 | Avg-100: -90.44
[EPISODE 53] Step: 10,522 | Reward: -11.59 | Avg-100: -88.95
[EPISODE 54] Step: 10,592 | Reward: -2.12 | Avg-100: -87.34
[EPISODE 55] Step: 10,611 | Reward: -12.00 | Avg-100: -85.97
[EPISODE 56] Step: 10,761 | Reward: -51.57 | Avg-100: -85.36
[EPISODE 57] Step: 10,816 | Reward: -7.79 | Avg-100: -84.00
[EPISODE 58] Step: 10,920 | Reward: -83.44 | Avg-100: -83.99
[EPISODE 59] Step: 10,941 | Reward: -12.84 | Avg-100: -82.78
[EPISODE 60] Step: 11,016 | Reward: -22.16 | Avg-100: -81.77
[EPISODE 61] Step: 11,054 | Reward: -24.24 | Avg-100: -80.83
[EPISODE 62] Step: 11,179 | Reward: -79.30 | Avg-100: -80.81
[EPISODE 63] Step: 11,234 | Reward: -15.90 | Avg-100: -79.78
[EPISODE 64] Step: 11,310 | Reward: -2.58 | Avg-100: -78.57
[EPISODE 65] Step: 11,344 | Reward: 0.89 | Avg-100: -77.35
[EPISODE 66] Step: 11,359 | Reward: -8.73 | Avg-100: -76.31
[EPISODE 67] Step: 11,534 | Reward: -107.85 | Avg-100: -76.78
[EPISODE 68] Step: 11,580 | Reward: 14.69 | Avg-100: -75.43
[EPISODE 69] Step: 11,711 | Reward: -100.24 | Avg-100: -75.79
[EPISODE 70] Step: 11,909 | Reward: -85.04 | Avg-100: -75.92
[EPISODE 71] Step: 11,959 | Reward: -27.94 | Avg-100: -75.25
[EPISODE 72] Step: 12,089 | Reward: -36.71 | Avg-100: -74.71
[EPISODE 73] Step: 12,149 | Reward: -53.18 | Avg-100: -74.42
[EPISODE 74] Step: 13,149 | Reward: -393.73 | Avg-100: -78.73
[EPISODE 75] Step: 13,471 | Reward: -100.36 | Avg-100: -79.02
[EPISODE 76] Step: 13,600 | Reward: 22.60 | Avg-100: -77.68
[EPISODE 77] Step: 13,674 | Reward: -10.36 | Avg-100: -76.81
[EPISODE 78] Step: 13,723 | Reward: -23.46 | Avg-100: -76.13
[EPISODE 79] Step: 14,723 | Reward: -337.36 | Avg-100: -79.43
[EPISODE 80] Step: 14,884 | Reward: -77.53 | Avg-100: -79.41
[EPISODE 81] Step: 14,894 | Reward: 4.53 | Avg-100: -78.37
[EPISODE 82] Step: 14,930 | Reward: -23.35 | Avg-100: -77.70
[EPISODE 83] Step: 15,930 | Reward: -354.84 | Avg-100: -81.04
[EPISODE 84] Step: 15,987 | Reward: -36.69 | Avg-100: -80.51
[EPISODE 85] Step: 16,119 | Reward: -9.01 | Avg-100: -79.67
[EPISODE 86] Step: 16,202 | Reward: -12.37 | Avg-100: -78.89
[EPISODE 87] Step: 16,221 | Reward: -11.13 | Avg-100: -78.11
[EPISODE 88] Step: 16,274 | Reward: -20.68 | Avg-100: -77.46
[EPISODE 89] Step: 16,571 | Reward: -119.63 | Avg-100: -77.93
[EPISODE 90] Step: 16,613 | Reward: -20.85 | Avg-100: -77.30
[EPISODE 91] Step: 16,650 | Reward: -7.99 | Avg-100: -76.54
[EPISODE 92] Step: 16,722 | Reward: -66.20 | Avg-100: -76.42
[EPISODE 93] Step: 16,802 | Reward: -41.71 | Avg-100: -76.05
[EPISODE 94] Step: 17,282 | Reward: -171.35 | Avg-100: -77.06
[EPISODE 95] Step: 17,318 | Reward: -14.80 | Avg-100: -76.41
[EPISODE 96] Step: 17,363 | Reward: -29.36 | Avg-100: -75.92
[EPISODE 97] Step: 17,519 | Reward: -131.89 | Avg-100: -76.50
[EPISODE 98] Step: 17,611 | Reward: -57.65 | Avg-100: -76.30
[EPISODE 99] Step: 17,686 | Reward: -92.66 | Avg-100: -76.47
[EPISODE 100] Step: 17,874 | Reward: -132.73 | Avg-100: -77.03
[EPISODE 101] Step: 17,899 | Reward: -2.38 | Avg-100: -76.47
[EPISODE 102] Step: 17,974 | Reward: -33.69 | Avg-100: -76.34
[EPISODE 103] Step: 17,989 | Reward: -1.40 | Avg-100: -76.23
[EPISODE 104] Step: 18,030 | Reward: -36.13 | Avg-100: -76.38
[EPISODE 105] Step: 18,254 | Reward: -101.68 | Avg-100: -76.57
[BEST MODEL] New record! Avg Reward: -76.57
[EPISODE 106] Step: 19,254 | Reward: -302.48 | Avg-100: -79.24
[EPISODE 107] Step: 19,400 | Reward: -61.43 | Avg-100: -75.26
[EPISODE 108] Step: 19,424 | Reward: -4.43 | Avg-100: -75.14
[EPISODE 109] Step: 19,497 | Reward: -52.14 | Avg-100: -71.06
[EPISODE 110] Step: 19,539 | Reward: -18.70 | Avg-100: -65.81
[BEST MODEL] New record! Avg Reward: -65.81
[EPISODE 111] Step: 20,539 | Reward: -377.91 | Avg-100: -69.33
[EPISODE 112] Step: 21,539 | Reward: -364.10 | Avg-100: -72.81
[EPISODE 113] Step: 22,539 | Reward: -346.99 | Avg-100: -75.57
[EPISODE 114] Step: 22,559 | Reward: -4.19 | Avg-100: -75.14
[EPISODE 115] Step: 22,687 | Reward: -65.61 | Avg-100: -75.63
[EPISODE 116] Step: 22,761 | Reward: -35.27 | Avg-100: -75.83
[EPISODE 117] Step: 23,071 | Reward: -179.24 | Avg-100: -76.92
[EPISODE 118] Step: 24,071 | Reward: -325.68 | Avg-100: -79.80
[EPISODE 119] Step: 24,302 | Reward: -54.63 | Avg-100: -75.37
[EPISODE 120] Step: 24,317 | Reward: -2.52 | Avg-100: -75.08
[EPISODE 121] Step: 24,443 | Reward: -58.83 | Avg-100: -74.85
[EPISODE 122] Step: 24,492 | Reward: 20.82 | Avg-100: -74.44
[EPISODE 123] Step: 24,601 | Reward: -39.27 | Avg-100: -74.26
[EPISODE 124] Step: 24,724 | Reward: -64.83 | Avg-100: -73.41
[EPISODE 125] Step: 24,769 | Reward: -3.99 | Avg-100: -69.12
[EPISODE 126] Step: 24,864 | Reward: -50.82 | Avg-100: -69.77
[EPISODE 127] Step: 24,885 | Reward: -17.05 | Avg-100: -69.88
[EPISODE 128] Step: 24,970 | Reward: 0.53 | Avg-100: -69.49
[EPISODE 129] Step: 25,003 | Reward: -15.61 | Avg-100: -68.91
[EPISODE 130] Step: 26,003 | Reward: -326.86 | Avg-100: -72.23
[EPISODE 131] Step: 26,032 | Reward: -9.02 | Avg-100: -72.20
[EPISODE 132] Step: 26,174 | Reward: -94.53 | Avg-100: -68.96
[EPISODE 133] Step: 27,174 | Reward: -242.74 | Avg-100: -70.17
[EPISODE 134] Step: 27,217 | Reward: -20.71 | Avg-100: -69.75
[EPISODE 135] Step: 27,305 | Reward: -30.92 | Avg-100: -69.96
[EPISODE 136] Step: 27,323 | Reward: -4.21 | Avg-100: -69.59
[EPISODE 137] Step: 28,323 | Reward: -337.19 | Avg-100: -72.82
[EPISODE 138] Step: 28,408 | Reward: -39.92 | Avg-100: -73.01
[EPISODE 139] Step: 28,479 | Reward: -0.22 | Avg-100: -72.95
[EPISODE 140] Step: 28,573 | Reward: -38.41 | Avg-100: -73.31
[EPISODE 141] Step: 28,662 | Reward: -17.83 | Avg-100: -73.19
[EPISODE 142] Step: 29,662 | Reward: -330.12 | Avg-100: -76.27
[EPISODE 143] Step: 30,662 | Reward: -317.69 | Avg-100: -78.46
[EPISODE 144] Step: 30,801 | Reward: -75.27 | Avg-100: -79.05
[EPISODE 145] Step: 31,024 | Reward: -146.64 | Avg-100: -80.54
[EPISODE 146] Step: 31,061 | Reward: -4.45 | Avg-100: -79.78
[EPISODE 147] Step: 31,122 | Reward: -45.04 | Avg-100: -80.24
[EPISODE 148] Step: 31,142 | Reward: -7.58 | Avg-100: -79.31
[EPISODE 149] Step: 32,142 | Reward: -264.44 | Avg-100: -81.35
[EPISODE 150] Step: 32,294 | Reward: -50.33 | Avg-100: -80.33
[EPISODE 151] Step: 32,315 | Reward: -13.23 | Avg-100: -80.50
[EPISODE 152] Step: 32,433 | Reward: -34.80 | Avg-100: -80.52
[EPISODE 153] Step: 32,583 | Reward: -100.32 | Avg-100: -81.41
[EPISODE 154] Step: 32,768 | Reward: 15.64 | Avg-100: -81.23
[EPISODE 155] Step: 33,768 | Reward: -220.73 | Avg-100: -83.32
[EPISODE 156] Step: 33,945 | Reward: -52.89 | Avg-100: -83.33
[EPISODE 157] Step: 33,967 | Reward: 7.40 | Avg-100: -83.18
[EPISODE 158] Step: 34,057 | Reward: -60.14 | Avg-100: -82.95
[EPISODE 159] Step: 34,130 | Reward: -45.00 | Avg-100: -83.27
[EPISODE 160] Step: 34,276 | Reward: 1.76 | Avg-100: -83.03
[EPISODE 161] Step: 34,327 | Reward: -20.16 | Avg-100: -82.99
[EPISODE 162] Step: 34,350 | Reward: -20.52 | Avg-100: -82.40
[EPISODE 163] Step: 34,376 | Reward: -22.00 | Avg-100: -82.46
[EPISODE 164] Step: 34,443 | Reward: -41.94 | Avg-100: -82.85
[EPISODE 165] Step: 34,628 | Reward: -24.73 | Avg-100: -83.11
[EPISODE 166] Step: 34,759 | Reward: -50.99 | Avg-100: -83.53
[EPISODE 167] Step: 34,945 | Reward: -78.08 | Avg-100: -83.23
[EPISODE 168] Step: 35,173 | Reward: -22.59 | Avg-100: -83.61
[EPISODE 169] Step: 36,173 | Reward: -304.53 | Avg-100: -85.65
[EPISODE 170] Step: 36,186 | Reward: -9.21 | Avg-100: -84.89
[EPISODE 171] Step: 36,395 | Reward: -8.86 | Avg-100: -84.70
[EPISODE 172] Step: 36,500 | Reward: -79.39 | Avg-100: -85.13
[EPISODE 173] Step: 36,741 | Reward: -35.49 | Avg-100: -84.95
[EPISODE 174] Step: 36,821 | Reward: -31.79 | Avg-100: -81.33
[EPISODE 175] Step: 36,847 | Reward: 1.29 | Avg-100: -80.32
[EPISODE 176] Step: 37,847 | Reward: -228.13 | Avg-100: -82.82
[EPISODE 177] Step: 37,913 | Reward: -50.51 | Avg-100: -83.22
[EPISODE 178] Step: 37,926 | Reward: -10.68 | Avg-100: -83.10
[EPISODE 179] Step: 38,213 | Reward: -66.28 | Avg-100: -80.39
[EPISODE 180] Step: 38,301 | Reward: -26.14 | Avg-100: -79.87
[EPISODE 181] Step: 38,361 | Reward: 3.43 | Avg-100: -79.88
[EPISODE 182] Step: 38,456 | Reward: -8.52 | Avg-100: -79.73
[EPISODE 183] Step: 38,526 | Reward: -48.29 | Avg-100: -76.67
[EPISODE 184] Step: 38,641 | Reward: -10.42 | Avg-100: -76.41
[EPISODE 185] Step: 38,684 | Reward: -40.81 | Avg-100: -76.72
[EPISODE 186] Step: 38,717 | Reward: -12.08 | Avg-100: -76.72
[EPISODE 187] Step: 38,733 | Reward: 1.29 | Avg-100: -76.60
[EPISODE 188] Step: 38,805 | Reward: -7.54 | Avg-100: -76.47
[EPISODE 189] Step: 38,826 | Reward: -17.63 | Avg-100: -75.45
[EPISODE 190] Step: 38,973 | Reward: -28.10 | Avg-100: -75.52
[EPISODE 191] Step: 39,109 | Reward: -11.58 | Avg-100: -75.55
[EPISODE 192] Step: 39,256 | Reward: 5.08 | Avg-100: -74.84
[EPISODE 193] Step: 39,326 | Reward: 13.52 | Avg-100: -74.29
[EPISODE 194] Step: 39,445 | Reward: 16.71 | Avg-100: -72.41
[EPISODE 195] Step: 39,607 | Reward: -75.23 | Avg-100: -73.01
[EPISODE 196] Step: 40,607 | Reward: -219.05 | Avg-100: -74.91
[EPISODE 197] Step: 40,663 | Reward: -28.45 | Avg-100: -73.87
[EPISODE 198] Step: 41,663 | Reward: -226.71 | Avg-100: -75.57
[EPISODE 199] Step: 41,745 | Reward: -22.54 | Avg-100: -74.86
[EPISODE 200] Step: 42,745 | Reward: -226.49 | Avg-100: -75.80
[EPISODE 201] Step: 42,927 | Reward: -37.59 | Avg-100: -76.15
[EPISODE 202] Step: 42,978 | Reward: -13.55 | Avg-100: -75.95
[EPISODE 203] Step: 43,978 | Reward: -241.13 | Avg-100: -78.35
[EPISODE 204] Step: 44,009 | Reward: -18.82 | Avg-100: -78.18
[EPISODE 205] Step: 44,096 | Reward: -2.41 | Avg-100: -77.18
[EPISODE 206] Step: 44,150 | Reward: 1.61 | Avg-100: -74.14
[EPISODE 207] Step: 44,305 | Reward: -38.81 | Avg-100: -73.92
[EPISODE 208] Step: 44,454 | Reward: -73.01 | Avg-100: -74.60
[EPISODE 209] Step: 44,481 | Reward: -24.54 | Avg-100: -74.33
[EPISODE 210] Step: 44,561 | Reward: -6.97 | Avg-100: -74.21
[EPISODE 211] Step: 44,589 | Reward: -8.67 | Avg-100: -70.52
[EPISODE 212] Step: 44,624 | Reward: -12.29 | Avg-100: -67.00
[EPISODE 213] Step: 44,640 | Reward: -7.31 | Avg-100: -63.60
[EPISODE 214] Step: 44,671 | Reward: -6.31 | Avg-100: -63.62
[EPISODE 215] Step: 44,925 | Reward: 3.50 | Avg-100: -62.93
[BEST MODEL] New record! Avg Reward: -62.93
[EPISODE 216] Step: 45,076 | Reward: -66.71 | Avg-100: -63.25
[EPISODE 217] Step: 45,160 | Reward: 9.65 | Avg-100: -61.36
[EPISODE 218] Step: 45,190 | Reward: 3.79 | Avg-100: -58.06
[EPISODE 219] Step: 46,190 | Reward: -210.15 | Avg-100: -59.62
[EPISODE 220] Step: 46,226 | Reward: -12.26 | Avg-100: -59.72
[EPISODE 221] Step: 46,289 | Reward: 5.05 | Avg-100: -59.08
[EPISODE 222] Step: 46,472 | Reward: -61.46 | Avg-100: -59.90
[EPISODE 223] Step: 46,505 | Reward: 1.45 | Avg-100: -59.49
[EPISODE 224] Step: 46,674 | Reward: -61.56 | Avg-100: -59.46
[EPISODE 225] Step: 46,754 | Reward: -16.38 | Avg-100: -59.58
[EPISODE 226] Step: 46,775 | Reward: 8.95 | Avg-100: -58.99
[EPISODE 227] Step: 46,909 | Reward: -61.59 | Avg-100: -59.43
[EPISODE 228] Step: 46,944 | Reward: -17.25 | Avg-100: -59.61
[EPISODE 229] Step: 46,979 | Reward: -14.36 | Avg-100: -59.60
[EPISODE 230] Step: 46,996 | Reward: -11.30 | Avg-100: -56.44
[EPISODE 231] Step: 47,090 | Reward: -39.68 | Avg-100: -56.75
[EPISODE 232] Step: 47,102 | Reward: -1.85 | Avg-100: -55.82
[BEST MODEL] New record! Avg Reward: -55.82
[EPISODE 233] Step: 47,256 | Reward: -14.87 | Avg-100: -53.54
[EPISODE 234] Step: 47,370 | Reward: 13.39 | Avg-100: -53.20
[EPISODE 235] Step: 47,440 | Reward: -24.95 | Avg-100: -53.14
[EPISODE 236] Step: 47,464 | Reward: -0.80 | Avg-100: -53.11
[EPISODE 237] Step: 47,513 | Reward: -15.54 | Avg-100: -49.89
[EPISODE 238] Step: 47,542 | Reward: -11.27 | Avg-100: -49.60
[EPISODE 239] Step: 47,603 | Reward: -38.53 | Avg-100: -49.99
[EPISODE 240] Step: 47,625 | Reward: 2.56 | Avg-100: -49.58
[EPISODE 241] Step: 48,625 | Reward: -195.44 | Avg-100: -51.35
[EPISODE 242] Step: 48,669 | Reward: -14.59 | Avg-100: -48.20
[EPISODE 243] Step: 48,798 | Reward: 44.63 | Avg-100: -44.58
[BEST MODEL] New record! Avg Reward: -44.58
[EPISODE 244] Step: 49,798 | Reward: -230.29 | Avg-100: -46.13
[EPISODE 245] Step: 49,940 | Reward: -10.01 | Avg-100: -44.76
[EPISODE 246] Step: 49,977 | Reward: -7.60 | Avg-100: -44.79
