[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 179] Step: 31,704 | Reward: -19.13 | Avg-100: -91.47
[EPISODE 180] Step: 32,208 | Reward: -69.24 | Avg-100: -91.72
[EPISODE 181] Step: 32,400 | Reward: -31.88 | Avg-100: -91.78
[EPISODE 182] Step: 32,592 | Reward: -30.85 | Avg-100: -91.19
[EPISODE 183] Step: 32,616 | Reward: -239.85 | Avg-100: -93.36
[EPISODE 184] Step: 32,736 | Reward: 1.58 | Avg-100: -92.68
[EPISODE 185] Step: 32,904 | Reward: -37.54 | Avg-100: -91.84
[EPISODE 186] Step: 32,952 | Reward: -45.55 | Avg-100: -92.03
[EPISODE 187] Step: 33,048 | Reward: -90.13 | Avg-100: -92.29
[EPISODE 188] Step: 33,120 | Reward: -3.19 | Avg-100: -91.97
[EPISODE 189] Step: 33,192 | Reward: -73.57 | Avg-100: -92.36
[EPISODE 190] Step: 33,264 | Reward: -79.23 | Avg-100: -92.78
[EPISODE 191] Step: 33,768 | Reward: -19.17 | Avg-100: -92.83
[EPISODE 192] Step: 34,056 | Reward: 1.80 | Avg-100: -91.95
[EPISODE 193] Step: 34,224 | Reward: -11.74 | Avg-100: -91.81
[EPISODE 194] Step: 34,512 | Reward: -17.05 | Avg-100: -91.78
[EPISODE 195] Step: 34,728 | Reward: -15.70 | Avg-100: -91.23
[EPISODE 196] Step: 34,728 | Reward: -52.24 | Avg-100: -90.91
[EPISODE 197] Step: 34,848 | Reward: -503.03 | Avg-100: -95.78
[EPISODE 198] Step: 35,112 | Reward: -18.79 | Avg-100: -95.20
[EPISODE 199] Step: 35,472 | Reward: -68.76 | Avg-100: -95.73
[EPISODE 200] Step: 35,688 | Reward: -61.93 | Avg-100: -96.12
[EPISODE 201] Step: 35,808 | Reward: -13.17 | Avg-100: -95.93
[EPISODE 202] Step: 35,832 | Reward: -54.38 | Avg-100: -95.58
[EPISODE 203] Step: 36,096 | Reward: -488.61 | Avg-100: -100.28
[EPISODE 204] Step: 36,096 | Reward: -156.07 | Avg-100: -101.61
[EPISODE 205] Step: 36,360 | Reward: -25.26 | Avg-100: -101.80
[EPISODE 206] Step: 36,552 | Reward: 0.98 | Avg-100: -100.05
[EPISODE 207] Step: 37,080 | Reward: -49.50 | Avg-100: -100.21
[EPISODE 208] Step: 37,248 | Reward: -15.40 | Avg-100: -100.10
[EPISODE 209] Step: 37,368 | Reward: -242.40 | Avg-100: -100.74
[EPISODE 210] Step: 37,560 | Reward: -35.12 | Avg-100: -100.44
[EPISODE 211] Step: 37,872 | Reward: -9.14 | Avg-100: -100.49
[EPISODE 212] Step: 37,920 | Reward: -112.53 | Avg-100: -100.41
[EPISODE 213] Step: 37,968 | Reward: -86.78 | Avg-100: -101.27
[EPISODE 214] Step: 37,968 | Reward: -90.63 | Avg-100: -101.62
[EPISODE 215] Step: 38,208 | Reward: -248.04 | Avg-100: -103.64
