[INFO] Creating 12 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] VANILLA MODE: Ant-v5 base reward only!
[INFO] Anti-hopping: Built-in contact_cost penalty!

============================================================
[START] OPTIMIZED VANILLA TRAINING
============================================================

[EPISODE 155] Step: 34,440 | Reward: -41.74 | Avg-100: -101.11 | Speed: 6976554 steps/s
[EPISODE 156] Step: 34,452 | Reward: -30.72 | Avg-100: -101.36 | Speed: 6325964 steps/s
[EPISODE 157] Step: 34,752 | Reward: 12.76 | Avg-100: -100.60 | Speed: 180597 steps/s
[EPISODE 158] Step: 34,824 | Reward: 1.42 | Avg-100: -100.25 | Speed: 806876 steps/s
[EPISODE 159] Step: 35,280 | Reward: -152.82 | Avg-100: -101.24 | Speed: 113738 steps/s
[EPISODE 160] Step: 35,460 | Reward: -18.35 | Avg-100: -101.00 | Speed: 267972 steps/s
[EPISODE 161] Step: 35,496 | Reward: -18.98 | Avg-100: -100.82 | Speed: 1569537 steps/s
[EPISODE 162] Step: 35,544 | Reward: -12.01 | Avg-100: -100.78 | Speed: 1080452 steps/s
[EPISODE 163] Step: 35,964 | Reward: -259.27 | Avg-100: -103.07 | Speed: 99843 steps/s
[EPISODE 164] Step: 36,000 | Reward: -291.88 | Avg-100: -105.99 | Speed: 1248684 steps/s
[EPISODE 165] Step: 36,324 | Reward: -14.92 | Avg-100: -101.77 | Speed: 178592 steps/s
[EPISODE 166] Step: 36,396 | Reward: -75.98 | Avg-100: -97.90 | Speed: 811306 steps/s
[EPISODE 167] Step: 36,396 | Reward: -247.45 | Avg-100: -99.55 | Speed: 0 steps/s
[EPISODE 168] Step: 36,420 | Reward: -17.18 | Avg-100: -99.09 | Speed: 2726761 steps/s
[EPISODE 169] Step: 36,468 | Reward: -92.72 | Avg-100: -99.84 | Speed: 1064215 steps/s
[EPISODE 170] Step: 36,612 | Reward: 6.37 | Avg-100: -99.25 | Speed: 452170 steps/s
[EPISODE 171] Step: 36,804 | Reward: 2.41 | Avg-100: -94.83 | Speed: 311504 steps/s
[EPISODE 172] Step: 36,840 | Reward: -15.05 | Avg-100: -93.81 | Speed: 1513473 steps/s
[EPISODE 173] Step: 37,320 | Reward: 10.73 | Avg-100: -93.33 | Speed: 29127 steps/s
[EPISODE 174] Step: 38,148 | Reward: -63.98 | Avg-100: -93.72 | Speed: 65376 steps/s
[EPISODE 175] Step: 38,232 | Reward: -46.04 | Avg-100: -94.18 | Speed: 725402 steps/s
[EPISODE 176] Step: 38,664 | Reward: 28.00 | Avg-100: -92.75 | Speed: 129734 steps/s
[EPISODE 177] Step: 38,748 | Reward: -19.62 | Avg-100: -92.64 | Speed: 440273 steps/s
[EPISODE 178] Step: 38,796 | Reward: -29.77 | Avg-100: -88.99 | Speed: 1131458 steps/s
[EPISODE 179] Step: 38,952 | Reward: -16.32 | Avg-100: -84.92 | Speed: 325016 steps/s
[EPISODE 180] Step: 39,276 | Reward: -105.75 | Avg-100: -81.67 | Speed: 165903 steps/s
[EPISODE 181] Step: 39,516 | Reward: 10.49 | Avg-100: -81.48 | Speed: 240364 steps/s
[EPISODE 182] Step: 39,780 | Reward: -4.13 | Avg-100: -81.53 | Speed: 177401 steps/s
[EPISODE 183] Step: 40,380 | Reward: -35.44 | Avg-100: -77.03 | Speed: 87566 steps/s
[EPISODE 184] Step: 40,560 | Reward: -34.40 | Avg-100: -77.25 | Speed: 317547 steps/s
[EPISODE 185] Step: 40,716 | Reward: -2.29 | Avg-100: -76.97 | Speed: 374249 steps/s
[EPISODE 186] Step: 40,752 | Reward: 13.76 | Avg-100: -75.49 | Speed: 1579193 steps/s
[EPISODE 187] Step: 40,884 | Reward: -50.86 | Avg-100: -75.18 | Speed: 415282 steps/s
[EPISODE 188] Step: 40,908 | Reward: -74.32 | Avg-100: -75.76 | Speed: 2688829 steps/s
[EPISODE 189] Step: 40,956 | Reward: 3.75 | Avg-100: -75.55 | Speed: 1276820 steps/s
[EPISODE 190] Step: 41,664 | Reward: -13.35 | Avg-100: -75.38 | Speed: 74606 steps/s
[EPISODE 191] Step: 41,892 | Reward: -32.58 | Avg-100: -75.54 | Speed: 240212 steps/s
[EPISODE 192] Step: 42,168 | Reward: -278.83 | Avg-100: -78.26 | Speed: 202889 steps/s
[EPISODE 193] Step: 42,528 | Reward: -11.40 | Avg-100: -78.27 | Speed: 114625 steps/s
