[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 12,000,000

============================================================
🎬 EĞİTİM BAŞLIYOR
============================================================

🎮 Episode 76 | Step: 7,778 | Reward: -49.82 | Avg-100: -308.20
🎮 Episode 77 | Step: 7,823 | Reward: -169.06 | Avg-100: -306.40
🎮 Episode 78 | Step: 7,865 | Reward: -152.42 | Avg-100: -304.42
🎮 Episode 79 | Step: 7,882 | Reward: -27.79 | Avg-100: -300.92
🎮 Episode 80 | Step: 7,957 | Reward: -279.56 | Avg-100: -300.65
🎮 Episode 81 | Step: 7,985 | Reward: -78.21 | Avg-100: -297.91
🎮 Episode 82 | Step: 8,115 | Reward: -391.43 | Avg-100: -299.05
🎮 Episode 83 | Step: 8,167 | Reward: -175.01 | Avg-100: -297.55
🎮 Episode 84 | Step: 8,190 | Reward: -53.90 | Avg-100: -294.65
🎮 Episode 85 | Step: 8,204 | Reward: -24.98 | Avg-100: -291.48
🎮 Episode 86 | Step: 8,218 | Reward: -38.41 | Avg-100: -288.54
🎮 Episode 87 | Step: 8,338 | Reward: -342.24 | Avg-100: -289.15
🎮 Episode 88 | Step: 8,386 | Reward: -137.37 | Avg-100: -287.43
🎮 Episode 89 | Step: 8,408 | Reward: -70.91 | Avg-100: -285.00
🎮 Episode 90 | Step: 8,438 | Reward: -99.34 | Avg-100: -282.93
🎮 Episode 91 | Step: 8,453 | Reward: -35.66 | Avg-100: -280.22
🎮 Episode 92 | Step: 8,471 | Reward: -41.74 | Avg-100: -277.62
🎮 Episode 93 | Step: 8,481 | Reward: -35.02 | Avg-100: -275.02
🎮 Episode 94 | Step: 8,521 | Reward: -148.25 | Avg-100: -273.67
🎮 Episode 95 | Step: 8,554 | Reward: -117.37 | Avg-100: -272.02
🎮 Episode 96 | Step: 8,591 | Reward: -105.71 | Avg-100: -270.29
🎮 Episode 97 | Step: 8,626 | Reward: -42.23 | Avg-100: -267.94
🎮 Episode 98 | Step: 9,626 | Reward: -2981.38 | Avg-100: -295.63
🎮 Episode 99 | Step: 9,640 | Reward: -39.73 | Avg-100: -293.04
🎮 Episode 100 | Step: 9,653 | Reward: -63.48 | Avg-100: -290.75
🎮 Episode 101 | Step: 9,689 | Reward: -124.27 | Avg-100: -288.24
🎮 Episode 102 | Step: 9,720 | Reward: -92.31 | Avg-100: -288.12
🎮 Episode 103 | Step: 9,796 | Reward: -212.33 | Avg-100: -287.52
🎮 Episode 104 | Step: 9,840 | Reward: -115.49 | Avg-100: -285.26
🎮 Episode 105 | Step: 9,863 | Reward: -72.62 | Avg-100: -284.67
