[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 179] Step: 33,000 | Reward: -11.42 | Avg-100: -96.74
[EPISODE 180] Step: 33,024 | Reward: -55.80 | Avg-100: -97.22
[EPISODE 181] Step: 33,672 | Reward: -17.74 | Avg-100: -97.13
[EPISODE 182] Step: 33,816 | Reward: -9.59 | Avg-100: -96.93
[EPISODE 183] Step: 33,936 | Reward: -31.48 | Avg-100: -96.87
[EPISODE 184] Step: 34,008 | Reward: -9.12 | Avg-100: -96.36
[EPISODE 185] Step: 34,416 | Reward: -63.53 | Avg-100: -96.45
[EPISODE 186] Step: 34,776 | Reward: -121.69 | Avg-100: -97.67
[EPISODE 187] Step: 34,800 | Reward: -57.22 | Avg-100: -97.69
[EPISODE 188] Step: 34,944 | Reward: -55.52 | Avg-100: -98.14
[EPISODE 189] Step: 34,968 | Reward: -22.86 | Avg-100: -97.71
[EPISODE 190] Step: 35,136 | Reward: -100.39 | Avg-100: -98.33
[EPISODE 191] Step: 35,592 | Reward: 2.46 | Avg-100: -97.80
[EPISODE 192] Step: 35,664 | Reward: -76.45 | Avg-100: -97.20
[EPISODE 193] Step: 35,664 | Reward: -76.13 | Avg-100: -96.38
[EPISODE 194] Step: 35,832 | Reward: -530.74 | Avg-100: -100.95
[EPISODE 195] Step: 35,928 | Reward: -9.12 | Avg-100: -99.39
[EPISODE 196] Step: 36,072 | Reward: -47.64 | Avg-100: -99.59
[EPISODE 197] Step: 36,336 | Reward: -465.71 | Avg-100: -103.54
[EPISODE 198] Step: 36,504 | Reward: -61.57 | Avg-100: -104.15
[EPISODE 199] Step: 36,552 | Reward: -64.84 | Avg-100: -103.85
[EPISODE 200] Step: 36,648 | Reward: -63.67 | Avg-100: -104.12
[EPISODE 201] Step: 36,696 | Reward: -486.90 | Avg-100: -108.62
[EPISODE 202] Step: 36,888 | Reward: -55.46 | Avg-100: -109.11
[EPISODE 203] Step: 36,912 | Reward: 2.59 | Avg-100: -109.17
[EPISODE 204] Step: 37,128 | Reward: 0.55 | Avg-100: -108.20
[EPISODE 205] Step: 37,728 | Reward: -55.34 | Avg-100: -108.54
[EPISODE 206] Step: 37,920 | Reward: -469.80 | Avg-100: -112.93
[EPISODE 207] Step: 37,944 | Reward: -56.47 | Avg-100: -113.03
[EPISODE 208] Step: 38,328 | Reward: -103.96 | Avg-100: -113.84
[EPISODE 209] Step: 38,688 | Reward: 17.64 | Avg-100: -113.62
[EPISODE 210] Step: 38,736 | Reward: -14.76 | Avg-100: -112.99
[EPISODE 211] Step: 38,952 | Reward: -27.27 | Avg-100: -112.08
[EPISODE 212] Step: 39,504 | Reward: -75.32 | Avg-100: -112.58
[EPISODE 213] Step: 39,576 | Reward: -39.35 | Avg-100: -112.54
[EPISODE 214] Step: 39,648 | Reward: -146.87 | Avg-100: -113.57
[EPISODE 215] Step: 39,792 | Reward: -42.80 | Avg-100: -113.78
[EPISODE 216] Step: 40,008 | Reward: -44.75 | Avg-100: -112.84
[EPISODE 217] Step: 40,080 | Reward: -33.15 | Avg-100: -113.13
[EPISODE 218] Step: 40,128 | Reward: -39.78 | Avg-100: -108.85
[EPISODE 219] Step: 40,296 | Reward: -28.99 | Avg-100: -104.98
[EPISODE 220] Step: 40,392 | Reward: -69.89 | Avg-100: -101.24
[EPISODE 221] Step: 40,920 | Reward: -183.84 | Avg-100: -103.01
[EPISODE 222] Step: 41,352 | Reward: -19.79 | Avg-100: -102.74
[EPISODE 223] Step: 41,472 | Reward: -25.26 | Avg-100: -98.67
[EPISODE 224] Step: 41,760 | Reward: -8.38 | Avg-100: -94.29
[EPISODE 225] Step: 41,832 | Reward: -24.48 | Avg-100: -94.44
[EPISODE 226] Step: 41,880 | Reward: -8.04 | Avg-100: -93.27
[EPISODE 227] Step: 42,024 | Reward: -80.37 | Avg-100: -93.71
[EPISODE 228] Step: 42,216 | Reward: -1.00 | Avg-100: -88.78
[EPISODE 229] Step: 42,672 | Reward: -16.07 | Avg-100: -88.45
[EPISODE 230] Step: 43,056 | Reward: -9.23 | Avg-100: -88.44
[EPISODE 231] Step: 43,176 | Reward: -8.32 | Avg-100: -87.63
[EPISODE 232] Step: 43,272 | Reward: -19.92 | Avg-100: -86.96
[EPISODE 233] Step: 43,728 | Reward: -28.39 | Avg-100: -86.88
[EPISODE 234] Step: 43,848 | Reward: -460.90 | Avg-100: -90.77
