[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 100] Step: 24,864 | Reward: -17.84 | Avg-100: -78.84
[EPISODE 101] Step: 25,224 | Reward: -18.74 | Avg-100: -78.91
[EPISODE 102] Step: 25,296 | Reward: -45.26 | Avg-100: -79.20
[EPISODE 103] Step: 25,416 | Reward: -19.71 | Avg-100: -79.47
[EPISODE 104] Step: 25,488 | Reward: -40.97 | Avg-100: -79.75
[EPISODE 105] Step: 25,800 | Reward: -367.69 | Avg-100: -83.29
[EPISODE 106] Step: 25,968 | Reward: 10.69 | Avg-100: -82.89
[EPISODE 107] Step: 26,064 | Reward: -33.98 | Avg-100: -83.14
[EPISODE 108] Step: 26,088 | Reward: -64.37 | Avg-100: -83.43
[EPISODE 109] Step: 26,376 | Reward: -73.20 | Avg-100: -84.21
[EPISODE 110] Step: 26,448 | Reward: -521.22 | Avg-100: -89.09
[EPISODE 111] Step: 26,616 | Reward: -8.10 | Avg-100: -88.84
[EPISODE 112] Step: 26,640 | Reward: 2.51 | Avg-100: -88.54
[EPISODE 113] Step: 26,664 | Reward: -484.05 | Avg-100: -93.22
[EPISODE 114] Step: 26,784 | Reward: -8.74 | Avg-100: -93.26
[EPISODE 115] Step: 26,904 | Reward: -30.29 | Avg-100: -92.84
[EPISODE 116] Step: 26,928 | Reward: 8.07 | Avg-100: -92.56
[EPISODE 117] Step: 27,048 | Reward: 6.08 | Avg-100: -92.53
[EPISODE 118] Step: 27,744 | Reward: -217.02 | Avg-100: -94.40
[EPISODE 119] Step: 27,744 | Reward: -72.02 | Avg-100: -94.87
[EPISODE 120] Step: 27,840 | Reward: -21.95 | Avg-100: -94.83
[EPISODE 121] Step: 27,960 | Reward: -30.93 | Avg-100: -94.97
[EPISODE 122] Step: 28,080 | Reward: -11.70 | Avg-100: -94.97
[EPISODE 123] Step: 28,224 | Reward: -64.23 | Avg-100: -95.39
[EPISODE 124] Step: 28,296 | Reward: -471.70 | Avg-100: -98.92
[EPISODE 125] Step: 28,440 | Reward: -514.55 | Avg-100: -103.89
