[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] BALANCED MODE - Forward velocity dominant!

============================================================
[START] BALANCED TRAINING STARTED
============================================================

[EPISODE 80] Step: 8,592 | Reward: -186.75 | Avg-100: -324.85
[EPISODE 81] Step: 8,616 | Reward: -79.47 | Avg-100: -321.83
[EPISODE 82] Step: 8,626 | Reward: -45.13 | Avg-100: -318.45
[EPISODE 83] Step: 8,680 | Reward: -146.01 | Avg-100: -316.37
[EPISODE 84] Step: 8,695 | Reward: -39.51 | Avg-100: -313.08
[EPISODE 85] Step: 8,712 | Reward: -37.37 | Avg-100: -309.83
[EPISODE 86] Step: 8,802 | Reward: -269.40 | Avg-100: -309.36
[EPISODE 87] Step: 8,823 | Reward: -49.90 | Avg-100: -306.38
[EPISODE 88] Step: 8,981 | Reward: -434.32 | Avg-100: -307.84
[EPISODE 89] Step: 8,994 | Reward: -37.43 | Avg-100: -304.80
[EPISODE 90] Step: 9,033 | Reward: -96.40 | Avg-100: -302.48
[EPISODE 91] Step: 9,098 | Reward: -162.39 | Avg-100: -300.94
[EPISODE 92] Step: 9,145 | Reward: -122.36 | Avg-100: -299.00
[EPISODE 93] Step: 9,170 | Reward: -54.24 | Avg-100: -296.37
[EPISODE 94] Step: 9,218 | Reward: -136.55 | Avg-100: -294.67
[EPISODE 95] Step: 9,297 | Reward: -226.91 | Avg-100: -293.96
[EPISODE 96] Step: 9,321 | Reward: -106.28 | Avg-100: -292.00
[EPISODE 97] Step: 9,334 | Reward: -46.97 | Avg-100: -289.47
[EPISODE 98] Step: 9,403 | Reward: -184.23 | Avg-100: -288.40
[EPISODE 99] Step: 9,444 | Reward: -111.76 | Avg-100: -286.62
[EPISODE 100] Step: 9,470 | Reward: -82.12 | Avg-100: -284.57
[EPISODE 101] Step: 9,490 | Reward: -74.65 | Avg-100: -284.36
[EPISODE 102] Step: 9,517 | Reward: -56.95 | Avg-100: -281.49
[EPISODE 103] Step: 9,615 | Reward: -271.81 | Avg-100: -283.50
[EPISODE 104] Step: 9,642 | Reward: -74.30 | Avg-100: -281.75
[EPISODE 105] Step: 9,656 | Reward: -41.92 | Avg-100: -280.83
[BEST MODEL] New record! Avg Reward: -280.83
[EPISODE 106] Step: 10,656 | Reward: -3266.26 | Avg-100: -312.71
[EPISODE 107] Step: 10,679 | Reward: -101.17 | Avg-100: -312.91
[EPISODE 108] Step: 10,703 | Reward: -72.98 | Avg-100: -311.25
[EPISODE 109] Step: 10,712 | Reward: -30.31 | Avg-100: -311.11
[EPISODE 110] Step: 10,798 | Reward: -262.73 | Avg-100: -312.25
[EPISODE 111] Step: 10,839 | Reward: -109.65 | Avg-100: -312.35
[EPISODE 112] Step: 10,869 | Reward: -112.64 | Avg-100: -283.84
[EPISODE 113] Step: 10,929 | Reward: -163.49 | Avg-100: -283.40
[EPISODE 114] Step: 10,993 | Reward: -182.98 | Avg-100: -284.35
[EPISODE 115] Step: 11,030 | Reward: -102.22 | Avg-100: -254.86
[EPISODE 116] Step: 11,052 | Reward: -73.86 | Avg-100: -254.35
[EPISODE 117] Step: 11,084 | Reward: -73.50 | Avg-100: -253.72
[EPISODE 118] Step: 11,126 | Reward: -133.32 | Avg-100: -254.58
[EPISODE 119] Step: 11,189 | Reward: -168.07 | Avg-100: -244.90
[EPISODE 120] Step: 11,214 | Reward: -107.33 | Avg-100: -244.64
[EPISODE 121] Step: 11,228 | Reward: -23.19 | Avg-100: -244.37
[EPISODE 122] Step: 11,298 | Reward: -204.50 | Avg-100: -246.10
[EPISODE 123] Step: 11,317 | Reward: -51.22 | Avg-100: -245.77
[EPISODE 124] Step: 11,430 | Reward: -381.57 | Avg-100: -246.44
[EPISODE 125] Step: 11,473 | Reward: -160.23 | Avg-100: -246.15
[EPISODE 126] Step: 11,506 | Reward: -104.86 | Avg-100: -246.65
[EPISODE 127] Step: 11,535 | Reward: -70.78 | Avg-100: -244.85
[EPISODE 128] Step: 11,571 | Reward: -100.26 | Avg-100: -245.06
[EPISODE 129] Step: 11,598 | Reward: -87.66 | Avg-100: -242.88
[EPISODE 130] Step: 11,683 | Reward: -215.89 | Avg-100: -243.89
