[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 8,000,000
[INFO] Parallel Envs: 24
[INFO] Expected Speedup: 24x (from 8 hours to ~1 hour!)
[INFO] Energy Penalties: action=0.05, jerk=0.2

============================================================
[START] PARALLEL TRAINING STARTED
============================================================

[EPISODE 177] Step: 31,944 | Reward: -79.43 | Avg-100: -94.06
[EPISODE 178] Step: 32,016 | Reward: -61.56 | Avg-100: -92.42
[EPISODE 179] Step: 32,160 | Reward: -46.86 | Avg-100: -92.66
[EPISODE 180] Step: 32,208 | Reward: -122.16 | Avg-100: -93.44
[EPISODE 181] Step: 32,328 | Reward: -18.52 | Avg-100: -92.69
[EPISODE 182] Step: 32,688 | Reward: -30.01 | Avg-100: -92.51
[EPISODE 183] Step: 32,712 | Reward: -129.64 | Avg-100: -93.80
[EPISODE 184] Step: 32,736 | Reward: -40.63 | Avg-100: -94.52
[EPISODE 185] Step: 32,856 | Reward: -15.70 | Avg-100: -94.09
[EPISODE 186] Step: 32,952 | Reward: -37.18 | Avg-100: -94.40
[EPISODE 187] Step: 33,024 | Reward: -36.46 | Avg-100: -94.62
[EPISODE 188] Step: 33,168 | Reward: -42.66 | Avg-100: -94.18
[EPISODE 189] Step: 33,168 | Reward: -420.36 | Avg-100: -98.37
[EPISODE 190] Step: 33,288 | Reward: -432.94 | Avg-100: -102.14
[EPISODE 191] Step: 33,576 | Reward: -5.10 | Avg-100: -101.63
[EPISODE 192] Step: 33,600 | Reward: -11.00 | Avg-100: -101.15
[EPISODE 193] Step: 33,768 | Reward: -32.16 | Avg-100: -100.74
[EPISODE 194] Step: 33,792 | Reward: 29.46 | Avg-100: -100.02
[EPISODE 195] Step: 33,840 | Reward: -165.24 | Avg-100: -101.51
[EPISODE 196] Step: 33,840 | Reward: -8.63 | Avg-100: -100.80
[EPISODE 197] Step: 33,984 | Reward: -19.47 | Avg-100: -100.42
[EPISODE 198] Step: 34,080 | Reward: -37.09 | Avg-100: -100.72
[EPISODE 199] Step: 34,080 | Reward: -479.17 | Avg-100: -105.11
[EPISODE 200] Step: 34,152 | Reward: -2.73 | Avg-100: -104.47
[EPISODE 201] Step: 34,248 | Reward: -45.33 | Avg-100: -104.66
[EPISODE 202] Step: 34,344 | Reward: -49.27 | Avg-100: -104.69
[EPISODE 203] Step: 34,440 | Reward: -19.49 | Avg-100: -104.63
[EPISODE 204] Step: 34,560 | Reward: -25.87 | Avg-100: -103.69
[EPISODE 205] Step: 34,560 | Reward: -43.39 | Avg-100: -103.20
[EPISODE 206] Step: 34,776 | Reward: -16.95 | Avg-100: -103.15
[EPISODE 207] Step: 34,824 | Reward: -76.92 | Avg-100: -103.85
[EPISODE 208] Step: 34,848 | Reward: -25.21 | Avg-100: -103.27
[EPISODE 209] Step: 35,160 | Reward: -16.89 | Avg-100: -102.86
[EPISODE 210] Step: 35,280 | Reward: 3.75 | Avg-100: -102.63
[EPISODE 211] Step: 35,304 | Reward: -0.80 | Avg-100: -102.28
[EPISODE 212] Step: 35,784 | Reward: -33.51 | Avg-100: -101.72
[EPISODE 213] Step: 35,808 | Reward: -56.49 | Avg-100: -102.14
[EPISODE 214] Step: 35,832 | Reward: -35.53 | Avg-100: -102.43
[EPISODE 215] Step: 35,880 | Reward: -464.56 | Avg-100: -105.72
[EPISODE 216] Step: 36,168 | Reward: -1.17 | Avg-100: -105.68
[EPISODE 217] Step: 36,288 | Reward: -88.45 | Avg-100: -105.40
[EPISODE 218] Step: 36,312 | Reward: 19.23 | Avg-100: -105.00
[EPISODE 219] Step: 36,336 | Reward: -31.04 | Avg-100: -104.81
[EPISODE 220] Step: 36,792 | Reward: -1.50 | Avg-100: -100.41
[EPISODE 221] Step: 36,816 | Reward: -127.96 | Avg-100: -96.52
[EPISODE 222] Step: 36,864 | Reward: -41.43 | Avg-100: -92.44
[EPISODE 223] Step: 36,936 | Reward: -408.23 | Avg-100: -96.44
[EPISODE 224] Step: 37,176 | Reward: -26.86 | Avg-100: -91.63
[EPISODE 225] Step: 37,272 | Reward: -63.72 | Avg-100: -86.66
[EPISODE 226] Step: 37,344 | Reward: -174.17 | Avg-100: -88.26
[EPISODE 227] Step: 37,392 | Reward: -53.39 | Avg-100: -88.63
[EPISODE 228] Step: 37,584 | Reward: -14.91 | Avg-100: -88.78
[EPISODE 229] Step: 38,064 | Reward: -86.15 | Avg-100: -89.48
[EPISODE 230] Step: 38,376 | Reward: -93.21 | Avg-100: -90.17
[EPISODE 231] Step: 38,448 | Reward: -53.38 | Avg-100: -90.40
[EPISODE 232] Step: 38,472 | Reward: -2.17 | Avg-100: -89.37
[EPISODE 233] Step: 38,928 | Reward: 44.38 | Avg-100: -84.68
[EPISODE 234] Step: 38,976 | Reward: -112.88 | Avg-100: -84.96
[EPISODE 235] Step: 39,000 | Reward: -48.87 | Avg-100: -85.27
[EPISODE 236] Step: 39,024 | Reward: -130.84 | Avg-100: -85.38
[EPISODE 237] Step: 39,600 | Reward: -30.79 | Avg-100: -80.33
[EPISODE 238] Step: 39,984 | Reward: -68.73 | Avg-100: -80.72
[EPISODE 239] Step: 40,008 | Reward: -13.70 | Avg-100: -79.75
[EPISODE 240] Step: 40,176 | Reward: -47.85 | Avg-100: -79.16
[EPISODE 241] Step: 40,392 | Reward: -27.19 | Avg-100: -79.21
[EPISODE 242] Step: 40,464 | Reward: 12.63 | Avg-100: -78.85
[EPISODE 243] Step: 40,512 | Reward: -2.28 | Avg-100: -74.21
[EPISODE 244] Step: 40,776 | Reward: -13.89 | Avg-100: -69.25
[EPISODE 245] Step: 40,968 | Reward: -0.38 | Avg-100: -68.73
[EPISODE 246] Step: 41,664 | Reward: -45.60 | Avg-100: -69.04
[EPISODE 247] Step: 41,688 | Reward: -187.70 | Avg-100: -70.96
[EPISODE 248] Step: 42,336 | Reward: -117.72 | Avg-100: -71.95
[EPISODE 249] Step: 42,360 | Reward: -9.83 | Avg-100: -70.90
[EPISODE 250] Step: 42,528 | Reward: -168.84 | Avg-100: -72.08
[EPISODE 251] Step: 42,864 | Reward: -16.73 | Avg-100: -72.07
[EPISODE 252] Step: 42,912 | Reward: -116.34 | Avg-100: -73.16
[EPISODE 253] Step: 43,080 | Reward: -57.47 | Avg-100: -73.43
[EPISODE 254] Step: 43,272 | Reward: -36.53 | Avg-100: -72.68
[EPISODE 255] Step: 43,368 | Reward: -26.59 | Avg-100: -72.03
[EPISODE 256] Step: 43,392 | Reward: -15.68 | Avg-100: -71.83
[EPISODE 257] Step: 43,944 | Reward: -228.97 | Avg-100: -74.16
[EPISODE 258] Step: 44,088 | Reward: -37.56 | Avg-100: -74.37
[EPISODE 259] Step: 44,232 | Reward: -12.60 | Avg-100: -74.54
[EPISODE 260] Step: 44,304 | Reward: -198.35 | Avg-100: -75.44
[EPISODE 261] Step: 44,352 | Reward: -102.58 | Avg-100: -76.50
[EPISODE 262] Step: 44,736 | Reward: -482.33 | Avg-100: -76.20
[EPISODE 263] Step: 44,760 | Reward: -20.94 | Avg-100: -75.82
[EPISODE 264] Step: 44,832 | Reward: -163.39 | Avg-100: -73.85
[EPISODE 265] Step: 45,072 | Reward: -98.55 | Avg-100: -74.61
[EPISODE 266] Step: 45,120 | Reward: 5.32 | Avg-100: -74.21
[EPISODE 267] Step: 45,168 | Reward: -26.73 | Avg-100: -73.76
[EPISODE 268] Step: 45,192 | Reward: -10.33 | Avg-100: -72.85
[EPISODE 269] Step: 45,264 | Reward: -17.97 | Avg-100: -72.44
[EPISODE 270] Step: 45,552 | Reward: -50.01 | Avg-100: -72.30
[EPISODE 271] Step: 45,624 | Reward: -16.63 | Avg-100: -71.99
[EPISODE 272] Step: 45,672 | Reward: -37.74 | Avg-100: -72.19
[EPISODE 273] Step: 46,584 | Reward: -28.82 | Avg-100: -72.24
[EPISODE 274] Step: 46,776 | Reward: -84.83 | Avg-100: -73.01
[EPISODE 275] Step: 46,872 | Reward: -35.00 | Avg-100: -73.14
[EPISODE 276] Step: 46,968 | Reward: -23.57 | Avg-100: -73.11
[EPISODE 277] Step: 47,064 | Reward: -38.26 | Avg-100: -72.70
[EPISODE 278] Step: 47,232 | Reward: -39.24 | Avg-100: -72.48
[EPISODE 279] Step: 47,400 | Reward: -35.63 | Avg-100: -72.37
[EPISODE 280] Step: 47,736 | Reward: -12.36 | Avg-100: -71.27
[EPISODE 281] Step: 48,480 | Reward: -97.53 | Avg-100: -72.06
[EPISODE 282] Step: 48,936 | Reward: -99.74 | Avg-100: -72.75
[BEST MODEL] New record! Avg Reward: -72.75
[EPISODE 283] Step: 49,584 | Reward: -135.55 | Avg-100: -72.81
[EPISODE 284] Step: 49,608 | Reward: -91.99 | Avg-100: -73.33
[EPISODE 285] Step: 51,264 | Reward: -92.81 | Avg-100: -74.10
[EPISODE 286] Step: 52,104 | Reward: -83.53 | Avg-100: -74.56
[EPISODE 287] Step: 52,248 | Reward: -25.78 | Avg-100: -74.46
[EPISODE 288] Step: 52,560 | Reward: -32.79 | Avg-100: -74.36
[EPISODE 289] Step: 52,680 | Reward: -122.95 | Avg-100: -71.38
[EPISODE 290] Step: 52,992 | Reward: -16.99 | Avg-100: -67.22
[EPISODE 291] Step: 53,160 | Reward: -42.12 | Avg-100: -67.59
[EPISODE 292] Step: 53,256 | Reward: -5.92 | Avg-100: -67.54
[EPISODE 293] Step: 53,400 | Reward: -491.45 | Avg-100: -72.14
[EPISODE 294] Step: 53,856 | Reward: 4.92 | Avg-100: -72.38
