[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 7,000,000
[INFO] Energy Efficiency: ON (action_penalty=0.01, jerk_penalty=0.05)
[OK] Pre-trained model loaded.

============================================================
[START] ENERGY-EFFICIENT TRAINING STARTED
============================================================

[EPISODE 75] Step: 55,345 | Reward: 429.13 | Avg-100: 1454.92
[EPISODE 76] Step: 55,562 | Reward: 453.32 | Avg-100: 1441.74
[EPISODE 77] Step: 56,239 | Reward: 1744.19 | Avg-100: 1445.66
[EPISODE 78] Step: 57,216 | Reward: 2369.10 | Avg-100: 1457.50
[EPISODE 79] Step: 57,362 | Reward: 330.54 | Avg-100: 1443.24
[EPISODE 80] Step: 58,362 | Reward: 2321.29 | Avg-100: 1454.21
[EPISODE 81] Step: 58,976 | Reward: 1447.39 | Avg-100: 1454.13
[EPISODE 82] Step: 59,976 | Reward: 2448.35 | Avg-100: 1466.25
[EPISODE 83] Step: 60,009 | Reward: 31.93 | Avg-100: 1448.97
[EPISODE 84] Step: 60,729 | Reward: 1506.22 | Avg-100: 1449.65
[EPISODE 85] Step: 61,729 | Reward: 2260.93 | Avg-100: 1459.20
[EPISODE 86] Step: 62,393 | Reward: 1458.58 | Avg-100: 1459.19
[EPISODE 87] Step: 63,393 | Reward: 2409.97 | Avg-100: 1470.12
[EPISODE 88] Step: 63,776 | Reward: 973.90 | Avg-100: 1464.48
[EPISODE 89] Step: 64,183 | Reward: 974.43 | Avg-100: 1458.98
[EPISODE 90] Step: 65,102 | Reward: 2316.36 | Avg-100: 1468.50
[EPISODE 91] Step: 65,280 | Reward: 399.40 | Avg-100: 1456.75
[EPISODE 92] Step: 66,280 | Reward: 2388.41 | Avg-100: 1466.88
[EPISODE 93] Step: 66,520 | Reward: 471.88 | Avg-100: 1456.18
[EPISODE 94] Step: 66,630 | Reward: 283.70 | Avg-100: 1443.71
[EPISODE 95] Step: 66,868 | Reward: 494.65 | Avg-100: 1433.72
[EPISODE 96] Step: 67,550 | Reward: 1656.93 | Avg-100: 1436.04
[EPISODE 97] Step: 67,597 | Reward: 59.48 | Avg-100: 1421.85
[EPISODE 98] Step: 68,597 | Reward: 2292.34 | Avg-100: 1430.73
[EPISODE 99] Step: 69,554 | Reward: 1937.27 | Avg-100: 1435.85
[EPISODE 100] Step: 69,942 | Reward: 987.59 | Avg-100: 1431.37
[EPISODE 101] Step: 69,969 | Reward: 21.69 | Avg-100: 1419.25
[EPISODE 102] Step: 70,072 | Reward: 158.22 | Avg-100: 1396.50
[EPISODE 103] Step: 71,072 | Reward: 2483.33 | Avg-100: 1402.21
[BEST MODEL] New record! Avg Reward: 1402.21
[EPISODE 104] Step: 72,072 | Reward: 724.83 | Avg-100: 1382.97
[EPISODE 105] Step: 72,763 | Reward: 1667.32 | Avg-100: 1381.85
[EPISODE 106] Step: 73,763 | Reward: 2336.72 | Avg-100: 1385.39
[EPISODE 107] Step: 74,763 | Reward: 2732.84 | Avg-100: 1412.73
[EPISODE 108] Step: 74,938 | Reward: 356.68 | Avg-100: 1399.57
[EPISODE 109] Step: 75,938 | Reward: 2384.03 | Avg-100: 1399.63
[EPISODE 110] Step: 76,347 | Reward: 919.39 | Avg-100: 1385.52
[EPISODE 111] Step: 77,347 | Reward: 2437.11 | Avg-100: 1389.01
[EPISODE 112] Step: 78,347 | Reward: 2482.32 | Avg-100: 1416.70
[EPISODE 113] Step: 79,347 | Reward: 2521.98 | Avg-100: 1421.83
[BEST MODEL] New record! Avg Reward: 1421.83
[EPISODE 114] Step: 79,936 | Reward: 1291.30 | Avg-100: 1434.61
[EPISODE 115] Step: 80,936 | Reward: 2302.47 | Avg-100: 1436.25
[BEST MODEL] New record! Avg Reward: 1436.25
[EPISODE 116] Step: 81,936 | Reward: 2540.20 | Avg-100: 1448.13
[EPISODE 117] Step: 82,105 | Reward: 355.26 | Avg-100: 1443.79
[EPISODE 118] Step: 82,264 | Reward: 350.24 | Avg-100: 1449.69
[EPISODE 119] Step: 82,527 | Reward: 551.19 | Avg-100: 1447.42
[EPISODE 120] Step: 83,527 | Reward: 1834.21 | Avg-100: 1454.68
[BEST MODEL] New record! Avg Reward: 1454.68
[EPISODE 121] Step: 84,527 | Reward: 2178.47 | Avg-100: 1475.46
[EPISODE 122] Step: 84,681 | Reward: 250.41 | Avg-100: 1454.80
[EPISODE 123] Step: 84,812 | Reward: 287.96 | Avg-100: 1432.52
[EPISODE 124] Step: 85,104 | Reward: 658.63 | Avg-100: 1436.47
[EPISODE 125] Step: 85,268 | Reward: 443.41 | Avg-100: 1418.10
[EPISODE 126] Step: 86,268 | Reward: 2629.64 | Avg-100: 1422.17
[EPISODE 127] Step: 87,268 | Reward: 2483.28 | Avg-100: 1447.20
[EPISODE 128] Step: 87,632 | Reward: 533.78 | Avg-100: 1427.52
[EPISODE 129] Step: 88,100 | Reward: 965.56 | Avg-100: 1426.98
[EPISODE 130] Step: 88,297 | Reward: 457.84 | Avg-100: 1409.31
[EPISODE 131] Step: 88,662 | Reward: 488.05 | Avg-100: 1412.01
[EPISODE 132] Step: 89,662 | Reward: 2468.96 | Avg-100: 1431.37
[EPISODE 133] Step: 89,811 | Reward: 181.73 | Avg-100: 1430.58
[EPISODE 134] Step: 90,811 | Reward: 2490.16 | Avg-100: 1443.62
[EPISODE 135] Step: 91,811 | Reward: 240.61 | Avg-100: 1425.34
[EPISODE 136] Step: 92,140 | Reward: 759.96 | Avg-100: 1409.93
[EPISODE 137] Step: 93,140 | Reward: 2107.40 | Avg-100: 1416.62
[EPISODE 138] Step: 94,140 | Reward: 2542.77 | Avg-100: 1441.36
[EPISODE 139] Step: 94,977 | Reward: 2146.44 | Avg-100: 1447.99
[EPISODE 140] Step: 95,536 | Reward: 1391.64 | Avg-100: 1449.02
[EPISODE 141] Step: 96,536 | Reward: 2023.04 | Avg-100: 1444.81
[EPISODE 142] Step: 97,536 | Reward: 2526.14 | Avg-100: 1458.68
[EPISODE 143] Step: 97,629 | Reward: 109.78 | Avg-100: 1443.20
[EPISODE 144] Step: 98,629 | Reward: 2484.08 | Avg-100: 1472.26
[EPISODE 145] Step: 99,629 | Reward: 1745.29 | Avg-100: 1463.88
[BEST MODEL] New record! Avg Reward: 1463.88
[EPISODE 146] Step: 100,629 | Reward: 1878.81 | Avg-100: 1477.96
[EPISODE 147] Step: 101,417 | Reward: 1845.75 | Avg-100: 1475.28
[BEST MODEL] New record! Avg Reward: 1475.28
[EPISODE 148] Step: 102,417 | Reward: 2217.95 | Avg-100: 1496.48
[EPISODE 149] Step: 102,642 | Reward: 459.19 | Avg-100: 1499.10
[EPISODE 150] Step: 103,148 | Reward: 1348.09 | Avg-100: 1489.66
[EPISODE 151] Step: 104,148 | Reward: 2457.24 | Avg-100: 1491.00
[BEST MODEL] New record! Avg Reward: 1491.00
[EPISODE 152] Step: 104,558 | Reward: 697.56 | Avg-100: 1487.06
[EPISODE 153] Step: 104,813 | Reward: 472.47 | Avg-100: 1468.69
[EPISODE 154] Step: 104,867 | Reward: 77.94 | Avg-100: 1449.15
[EPISODE 155] Step: 104,936 | Reward: -1.38 | Avg-100: 1430.13
[EPISODE 156] Step: 105,936 | Reward: 2562.53 | Avg-100: 1455.35
[EPISODE 157] Step: 106,936 | Reward: 2212.25 | Avg-100: 1455.50
[EPISODE 158] Step: 107,936 | Reward: 1983.15 | Avg-100: 1453.13
[EPISODE 159] Step: 108,083 | Reward: 321.00 | Avg-100: 1430.61
[EPISODE 160] Step: 108,349 | Reward: 610.13 | Avg-100: 1416.85
[EPISODE 161] Step: 109,349 | Reward: 2332.90 | Avg-100: 1417.37
[EPISODE 162] Step: 110,349 | Reward: 1093.85 | Avg-100: 1412.62
[EPISODE 163] Step: 111,349 | Reward: 2023.01 | Avg-100: 1409.26
[EPISODE 164] Step: 112,349 | Reward: 2308.82 | Avg-100: 1428.21
[EPISODE 165] Step: 112,630 | Reward: 622.35 | Avg-100: 1410.70
[EPISODE 166] Step: 112,733 | Reward: 264.11 | Avg-100: 1398.07
[EPISODE 167] Step: 112,952 | Reward: 331.46 | Avg-100: 1397.57
[EPISODE 168] Step: 113,952 | Reward: 2221.51 | Avg-100: 1395.41
[EPISODE 169] Step: 114,952 | Reward: 2257.88 | Avg-100: 1401.79
[EPISODE 170] Step: 115,509 | Reward: 1242.69 | Avg-100: 1393.19
[EPISODE 171] Step: 116,509 | Reward: 2060.11 | Avg-100: 1402.38
[EPISODE 172] Step: 117,509 | Reward: 2108.00 | Avg-100: 1397.00
[EPISODE 173] Step: 118,509 | Reward: 2034.40 | Avg-100: 1396.50
[EPISODE 174] Step: 119,113 | Reward: 1259.89 | Avg-100: 1407.97
[EPISODE 175] Step: 119,497 | Reward: 1014.35 | Avg-100: 1413.83
[EPISODE 176] Step: 119,670 | Reward: 331.26 | Avg-100: 1412.61
[EPISODE 177] Step: 120,100 | Reward: 795.72 | Avg-100: 1403.12
[EPISODE 178] Step: 120,206 | Reward: 162.73 | Avg-100: 1381.06
