[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 100] Step: 16,344 | Reward: -42.36 | Avg-100: -46.14
[EPISODE 101] Step: 17,040 | Reward: -54.34 | Avg-100: -46.65
[EPISODE 102] Step: 17,832 | Reward: -22.17 | Avg-100: -46.72
[EPISODE 103] Step: 17,904 | Reward: -59.80 | Avg-100: -47.15
[EPISODE 104] Step: 17,928 | Reward: -1.42 | Avg-100: -46.87
[EPISODE 105] Step: 17,952 | Reward: -96.46 | Avg-100: -47.76
[EPISODE 106] Step: 18,120 | Reward: -16.64 | Avg-100: -47.87
[EPISODE 107] Step: 18,888 | Reward: -116.72 | Avg-100: -48.90
[EPISODE 108] Step: 19,056 | Reward: -17.98 | Avg-100: -48.85
[EPISODE 109] Step: 19,296 | Reward: -11.82 | Avg-100: -48.40
[EPISODE 110] Step: 19,464 | Reward: -13.55 | Avg-100: -48.39
[EPISODE 111] Step: 19,992 | Reward: -110.29 | Avg-100: -49.28
[EPISODE 112] Step: 20,184 | Reward: 4.15 | Avg-100: -49.25
[EPISODE 113] Step: 20,400 | Reward: -0.43 | Avg-100: -49.22
[EPISODE 114] Step: 20,568 | Reward: 4.62 | Avg-100: -48.96
[EPISODE 115] Step: 20,904 | Reward: -49.04 | Avg-100: -49.28
[EPISODE 116] Step: 21,360 | Reward: -152.71 | Avg-100: -50.73
[EPISODE 117] Step: 21,408 | Reward: -63.11 | Avg-100: -50.96
[EPISODE 118] Step: 21,720 | Reward: -13.23 | Avg-100: -50.55
[EPISODE 119] Step: 22,104 | Reward: -92.59 | Avg-100: -51.34
[EPISODE 120] Step: 22,368 | Reward: -73.24 | Avg-100: -51.37
[EPISODE 121] Step: 22,584 | Reward: -43.33 | Avg-100: -51.30
[EPISODE 122] Step: 23,040 | Reward: -140.06 | Avg-100: -52.30
[EPISODE 123] Step: 23,232 | Reward: -54.57 | Avg-100: -52.50
[EPISODE 124] Step: 23,544 | Reward: -60.83 | Avg-100: -52.14
[EPISODE 125] Step: 23,808 | Reward: -44.47 | Avg-100: -52.55
[EPISODE 126] Step: 24,000 | Reward: -468.88 | Avg-100: -57.19
[EPISODE 127] Step: 24,000 | Reward: -494.22 | Avg-100: -61.69
[EPISODE 128] Step: 24,360 | Reward: -12.48 | Avg-100: -61.63
[EPISODE 129] Step: 24,552 | Reward: -25.07 | Avg-100: -61.32
[EPISODE 130] Step: 24,576 | Reward: -2.80 | Avg-100: -60.41
[EPISODE 131] Step: 24,720 | Reward: -452.69 | Avg-100: -64.86
[EPISODE 132] Step: 25,008 | Reward: -527.02 | Avg-100: -69.50
[EPISODE 133] Step: 25,056 | Reward: -440.22 | Avg-100: -73.14
[EPISODE 134] Step: 25,272 | Reward: -28.37 | Avg-100: -73.48
