[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] AGGRESSIVE LEARNING MODE!

============================================================
[START] AGGRESSIVE LEARNING STARTED
============================================================

[EPISODE 80] Step: 6,911 | Reward: -323.64 | Avg-100: -257.96
[EPISODE 81] Step: 6,923 | Reward: -32.22 | Avg-100: -255.18
[EPISODE 82] Step: 6,974 | Reward: -149.93 | Avg-100: -253.89
[EPISODE 83] Step: 6,994 | Reward: -91.85 | Avg-100: -251.94
[EPISODE 84] Step: 7,022 | Reward: -50.01 | Avg-100: -249.54
[EPISODE 85] Step: 7,046 | Reward: -81.55 | Avg-100: -247.56
[EPISODE 86] Step: 7,103 | Reward: -191.66 | Avg-100: -246.91
[EPISODE 87] Step: 7,156 | Reward: -144.17 | Avg-100: -245.73
[EPISODE 88] Step: 7,259 | Reward: -313.02 | Avg-100: -246.49
[EPISODE 89] Step: 7,344 | Reward: -243.14 | Avg-100: -246.46
[EPISODE 90] Step: 7,361 | Reward: -48.94 | Avg-100: -244.26
[EPISODE 91] Step: 7,376 | Reward: -36.63 | Avg-100: -241.98
[EPISODE 92] Step: 7,497 | Reward: -365.31 | Avg-100: -243.32
[EPISODE 93] Step: 7,526 | Reward: -92.82 | Avg-100: -241.70
[EPISODE 94] Step: 7,553 | Reward: -68.02 | Avg-100: -239.85
[EPISODE 95] Step: 7,613 | Reward: -178.83 | Avg-100: -239.21
[EPISODE 96] Step: 7,630 | Reward: -61.73 | Avg-100: -237.36
[EPISODE 97] Step: 7,667 | Reward: -115.68 | Avg-100: -236.11
[EPISODE 98] Step: 8,667 | Reward: -3218.87 | Avg-100: -266.54
[EPISODE 99] Step: 8,723 | Reward: -231.15 | Avg-100: -266.19
[EPISODE 100] Step: 8,802 | Reward: -227.04 | Avg-100: -265.80
[EPISODE 101] Step: 9,802 | Reward: -3130.32 | Avg-100: -296.01
[EPISODE 102] Step: 9,822 | Reward: -85.30 | Avg-100: -292.89
[EPISODE 103] Step: 9,909 | Reward: -235.61 | Avg-100: -292.91
[EPISODE 104] Step: 9,930 | Reward: -46.80 | Avg-100: -292.69
[EPISODE 105] Step: 9,941 | Reward: -35.89 | Avg-100: -292.62
[EPISODE 106] Step: 9,962 | Reward: -77.27 | Avg-100: -292.82
[EPISODE 107] Step: 10,007 | Reward: -128.11 | Avg-100: -290.84
[EPISODE 108] Step: 10,040 | Reward: -70.46 | Avg-100: -260.93
[EPISODE 109] Step: 10,055 | Reward: -51.70 | Avg-100: -260.72
[EPISODE 110] Step: 10,165 | Reward: -357.66 | Avg-100: -261.94
[BEST MODEL] New record! Avg Reward: -261.94
[EPISODE 111] Step: 10,282 | Reward: -358.22 | Avg-100: -264.89
[EPISODE 112] Step: 10,310 | Reward: -136.98 | Avg-100: -263.71
