[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 12,000,000

============================================================
🎬 EĞİTİM BAŞLIYOR
============================================================

🎮 Episode 1 | Step: 37 | Reward: -66.96 | Avg-100: -66.96
🎮 Episode 2 | Step: 71 | Reward: -86.53 | Avg-100: -76.75
🎮 Episode 3 | Step: 119 | Reward: -101.35 | Avg-100: -84.95
🎮 Episode 4 | Step: 162 | Reward: -141.10 | Avg-100: -98.99
🎮 Episode 5 | Step: 173 | Reward: -26.34 | Avg-100: -84.46
🎮 Episode 6 | Step: 295 | Reward: -332.21 | Avg-100: -125.75
🎮 Episode 7 | Step: 337 | Reward: -123.26 | Avg-100: -125.39
🎮 Episode 8 | Step: 348 | Reward: -35.30 | Avg-100: -114.13
🎮 Episode 9 | Step: 368 | Reward: -61.63 | Avg-100: -108.30
🎮 Episode 10 | Step: 389 | Reward: -34.85 | Avg-100: -100.95
🎮 Episode 11 | Step: 412 | Reward: -56.58 | Avg-100: -96.92
🎮 Episode 12 | Step: 454 | Reward: -149.91 | Avg-100: -101.34
🎮 Episode 13 | Step: 480 | Reward: -92.42 | Avg-100: -100.65
🎮 Episode 14 | Step: 493 | Reward: -37.98 | Avg-100: -96.17
🎮 Episode 15 | Step: 627 | Reward: -435.67 | Avg-100: -118.81
🎮 Episode 16 | Step: 670 | Reward: -161.40 | Avg-100: -121.47
🎮 Episode 17 | Step: 730 | Reward: -153.53 | Avg-100: -123.35
🎮 Episode 18 | Step: 761 | Reward: -82.62 | Avg-100: -121.09
🎮 Episode 19 | Step: 1,761 | Reward: -2925.33 | Avg-100: -268.68
🎮 Episode 20 | Step: 1,775 | Reward: -46.87 | Avg-100: -257.59
🎮 Episode 21 | Step: 1,808 | Reward: -72.32 | Avg-100: -248.77
🎮 Episode 22 | Step: 1,823 | Reward: -33.18 | Avg-100: -238.97
🎮 Episode 23 | Step: 1,903 | Reward: -270.48 | Avg-100: -240.34
🎮 Episode 24 | Step: 1,969 | Reward: -222.92 | Avg-100: -239.61
🎮 Episode 25 | Step: 2,019 | Reward: -172.28 | Avg-100: -236.92
🎮 Episode 26 | Step: 2,135 | Reward: -360.13 | Avg-100: -241.66
🎮 Episode 27 | Step: 2,226 | Reward: -239.83 | Avg-100: -241.59
🎮 Episode 28 | Step: 3,226 | Reward: -2992.48 | Avg-100: -339.84
🎮 Episode 29 | Step: 3,255 | Reward: -79.00 | Avg-100: -330.84
🎮 Episode 30 | Step: 3,292 | Reward: -119.37 | Avg-100: -323.79
🎮 Episode 31 | Step: 4,292 | Reward: -2879.31 | Avg-100: -406.23
🎮 Episode 32 | Step: 4,422 | Reward: -387.43 | Avg-100: -405.64
🎮 Episode 33 | Step: 4,480 | Reward: -190.99 | Avg-100: -399.14
🎮 Episode 34 | Step: 4,525 | Reward: -114.44 | Avg-100: -390.76
🎮 Episode 35 | Step: 4,564 | Reward: -120.36 | Avg-100: -383.04
🎮 Episode 36 | Step: 4,578 | Reward: -68.34 | Avg-100: -374.30
🎮 Episode 37 | Step: 4,594 | Reward: -60.45 | Avg-100: -365.82
🎮 Episode 38 | Step: 4,707 | Reward: -326.83 | Avg-100: -364.79
🎮 Episode 39 | Step: 4,726 | Reward: -49.91 | Avg-100: -356.72
🎮 Episode 40 | Step: 5,726 | Reward: -3017.93 | Avg-100: -423.25
🎮 Episode 41 | Step: 5,739 | Reward: -46.38 | Avg-100: -414.05
🎮 Episode 42 | Step: 5,817 | Reward: -236.06 | Avg-100: -409.82
🎮 Episode 43 | Step: 5,896 | Reward: -167.50 | Avg-100: -404.18
🎮 Episode 44 | Step: 5,964 | Reward: -201.53 | Avg-100: -399.58
🎮 Episode 45 | Step: 6,009 | Reward: -139.27 | Avg-100: -393.79
🎮 Episode 46 | Step: 6,109 | Reward: -346.31 | Avg-100: -392.76
🎮 Episode 47 | Step: 6,212 | Reward: -352.72 | Avg-100: -391.91
🎮 Episode 48 | Step: 6,441 | Reward: -662.31 | Avg-100: -397.54
🎮 Episode 49 | Step: 6,458 | Reward: -61.28 | Avg-100: -390.68
🎮 Episode 50 | Step: 6,501 | Reward: -139.53 | Avg-100: -385.65
🎮 Episode 51 | Step: 6,527 | Reward: -107.53 | Avg-100: -380.20
🎮 Episode 52 | Step: 6,556 | Reward: -84.47 | Avg-100: -374.51
🎮 Episode 53 | Step: 6,604 | Reward: -170.60 | Avg-100: -370.67
🎮 Episode 54 | Step: 7,604 | Reward: -3152.20 | Avg-100: -422.18
🎮 Episode 55 | Step: 7,637 | Reward: -100.15 | Avg-100: -416.32
🎮 Episode 56 | Step: 7,657 | Reward: -85.88 | Avg-100: -410.42
🎮 Episode 57 | Step: 7,722 | Reward: -148.47 | Avg-100: -405.82
🎮 Episode 58 | Step: 7,732 | Reward: -15.19 | Avg-100: -399.09
🎮 Episode 59 | Step: 7,819 | Reward: -292.63 | Avg-100: -397.29
🎮 Episode 60 | Step: 7,830 | Reward: -20.02 | Avg-100: -391.00
🎮 Episode 61 | Step: 7,909 | Reward: -209.46 | Avg-100: -388.02
🎮 Episode 62 | Step: 7,953 | Reward: -119.67 | Avg-100: -383.69
🎮 Episode 63 | Step: 7,974 | Reward: -46.52 | Avg-100: -378.34
🎮 Episode 64 | Step: 7,996 | Reward: -72.83 | Avg-100: -373.57
🎮 Episode 65 | Step: 8,010 | Reward: -47.04 | Avg-100: -368.54
🎮 Episode 66 | Step: 8,042 | Reward: -115.12 | Avg-100: -364.70
🎮 Episode 67 | Step: 8,054 | Reward: -27.54 | Avg-100: -359.67
🎮 Episode 68 | Step: 8,110 | Reward: -156.39 | Avg-100: -356.68
🎮 Episode 69 | Step: 8,123 | Reward: -22.16 | Avg-100: -351.83
🎮 Episode 70 | Step: 8,192 | Reward: -238.41 | Avg-100: -350.21
🎮 Episode 71 | Step: 8,253 | Reward: -182.06 | Avg-100: -347.85
🎮 Episode 72 | Step: 8,368 | Reward: -400.42 | Avg-100: -348.58
🎮 Episode 73 | Step: 9,368 | Reward: -3137.48 | Avg-100: -386.78
🎮 Episode 74 | Step: 9,405 | Reward: -80.68 | Avg-100: -382.64
🎮 Episode 75 | Step: 9,500 | Reward: -284.31 | Avg-100: -381.33
🎮 Episode 76 | Step: 9,552 | Reward: -111.37 | Avg-100: -377.78
