[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 12,000,000

============================================================
🎬 EĞİTİM BAŞLIYOR
============================================================

🎮 Episode 1 | Step: 23 | Reward: -60.79 | Avg-100: -60.79
🎮 Episode 2 | Step: 57 | Reward: -90.86 | Avg-100: -75.82
🎮 Episode 3 | Step: 147 | Reward: -288.30 | Avg-100: -146.65
🎮 Episode 4 | Step: 175 | Reward: -97.93 | Avg-100: -134.47
🎮 Episode 5 | Step: 189 | Reward: -48.89 | Avg-100: -117.35
🎮 Episode 6 | Step: 202 | Reward: -56.94 | Avg-100: -107.29
🎮 Episode 7 | Step: 238 | Reward: -95.64 | Avg-100: -105.62
🎮 Episode 8 | Step: 278 | Reward: -105.96 | Avg-100: -105.66
🎮 Episode 9 | Step: 323 | Reward: -187.35 | Avg-100: -114.74
🎮 Episode 10 | Step: 364 | Reward: -125.09 | Avg-100: -115.78
🎮 Episode 11 | Step: 412 | Reward: -131.39 | Avg-100: -117.19
🎮 Episode 12 | Step: 476 | Reward: -258.72 | Avg-100: -128.99
🎮 Episode 13 | Step: 602 | Reward: -336.35 | Avg-100: -144.94
🎮 Episode 14 | Step: 657 | Reward: -159.32 | Avg-100: -145.97
🎮 Episode 15 | Step: 693 | Reward: -90.27 | Avg-100: -142.25
🎮 Episode 16 | Step: 1,693 | Reward: -3024.69 | Avg-100: -322.41
🎮 Episode 17 | Step: 1,755 | Reward: -173.38 | Avg-100: -313.64
🎮 Episode 18 | Step: 1,796 | Reward: -94.57 | Avg-100: -301.47
🎮 Episode 19 | Step: 2,796 | Reward: -2883.44 | Avg-100: -437.36
🎮 Episode 20 | Step: 2,895 | Reward: -302.18 | Avg-100: -430.60
🎮 Episode 21 | Step: 2,914 | Reward: -55.90 | Avg-100: -412.76
🎮 Episode 22 | Step: 2,929 | Reward: -49.23 | Avg-100: -396.24
🎮 Episode 23 | Step: 2,961 | Reward: -91.61 | Avg-100: -382.99
🎮 Episode 24 | Step: 3,032 | Reward: -166.73 | Avg-100: -373.98
🎮 Episode 25 | Step: 3,076 | Reward: -135.43 | Avg-100: -364.44
🎮 Episode 26 | Step: 3,087 | Reward: -27.53 | Avg-100: -351.48
🎮 Episode 27 | Step: 3,170 | Reward: -257.06 | Avg-100: -347.98
🎮 Episode 28 | Step: 3,220 | Reward: -128.08 | Avg-100: -340.13
🎮 Episode 29 | Step: 3,238 | Reward: -59.37 | Avg-100: -330.45
🎮 Episode 30 | Step: 3,282 | Reward: -127.90 | Avg-100: -323.70
🎮 Episode 31 | Step: 3,314 | Reward: -106.32 | Avg-100: -316.68
🎮 Episode 32 | Step: 3,338 | Reward: -70.61 | Avg-100: -309.00
🎮 Episode 33 | Step: 3,393 | Reward: -178.19 | Avg-100: -305.03
🎮 Episode 34 | Step: 3,427 | Reward: -94.51 | Avg-100: -298.84
🎮 Episode 35 | Step: 3,440 | Reward: -41.58 | Avg-100: -291.49
🎮 Episode 36 | Step: 3,586 | Reward: -420.03 | Avg-100: -295.06
🎮 Episode 37 | Step: 3,611 | Reward: -66.27 | Avg-100: -288.88
🎮 Episode 38 | Step: 3,630 | Reward: -81.45 | Avg-100: -283.42
🎮 Episode 39 | Step: 3,775 | Reward: -455.33 | Avg-100: -287.83
🎮 Episode 40 | Step: 3,864 | Reward: -275.65 | Avg-100: -287.52
🎮 Episode 41 | Step: 3,960 | Reward: -295.39 | Avg-100: -287.71
🎮 Episode 42 | Step: 4,032 | Reward: -155.64 | Avg-100: -284.57
🎮 Episode 43 | Step: 4,079 | Reward: -131.42 | Avg-100: -281.01
🎮 Episode 44 | Step: 4,092 | Reward: -53.58 | Avg-100: -275.84
🎮 Episode 45 | Step: 5,092 | Reward: -2949.90 | Avg-100: -335.26
🎮 Episode 46 | Step: 6,092 | Reward: -3065.40 | Avg-100: -394.61
🎮 Episode 47 | Step: 6,116 | Reward: -58.96 | Avg-100: -387.47
🎮 Episode 48 | Step: 6,187 | Reward: -155.75 | Avg-100: -382.64
🎮 Episode 49 | Step: 6,233 | Reward: -204.11 | Avg-100: -379.00
🎮 Episode 50 | Step: 6,307 | Reward: -265.06 | Avg-100: -376.72
🎮 Episode 51 | Step: 6,336 | Reward: -110.34 | Avg-100: -371.50
🎮 Episode 52 | Step: 6,354 | Reward: -70.29 | Avg-100: -365.71
🎮 Episode 53 | Step: 6,428 | Reward: -204.19 | Avg-100: -362.66
🎮 Episode 54 | Step: 6,479 | Reward: -213.21 | Avg-100: -359.89
🎮 Episode 55 | Step: 6,509 | Reward: -107.86 | Avg-100: -355.31
🎮 Episode 56 | Step: 6,566 | Reward: -155.38 | Avg-100: -351.74
🎮 Episode 57 | Step: 6,591 | Reward: -82.79 | Avg-100: -347.02
🎮 Episode 58 | Step: 6,655 | Reward: -201.37 | Avg-100: -344.51
🎮 Episode 59 | Step: 6,755 | Reward: -236.71 | Avg-100: -342.68
🎮 Episode 60 | Step: 6,800 | Reward: -105.84 | Avg-100: -338.73
🎮 Episode 61 | Step: 6,825 | Reward: -103.00 | Avg-100: -334.87
🎮 Episode 62 | Step: 6,838 | Reward: -39.35 | Avg-100: -330.10
🎮 Episode 63 | Step: 6,935 | Reward: -297.29 | Avg-100: -329.58
🎮 Episode 64 | Step: 6,972 | Reward: -130.13 | Avg-100: -326.47
🎮 Episode 65 | Step: 6,983 | Reward: -34.65 | Avg-100: -321.98
🎮 Episode 66 | Step: 7,014 | Reward: -82.56 | Avg-100: -318.35
🎮 Episode 67 | Step: 7,032 | Reward: -39.14 | Avg-100: -314.18
🎮 Episode 68 | Step: 7,055 | Reward: -48.30 | Avg-100: -310.27
🎮 Episode 69 | Step: 7,093 | Reward: -140.85 | Avg-100: -307.82
🎮 Episode 70 | Step: 7,149 | Reward: -148.51 | Avg-100: -305.54
🎮 Episode 71 | Step: 7,159 | Reward: -25.37 | Avg-100: -301.59
🎮 Episode 72 | Step: 7,169 | Reward: -26.57 | Avg-100: -297.77
🎮 Episode 73 | Step: 7,182 | Reward: -38.73 | Avg-100: -294.23
🎮 Episode 74 | Step: 7,193 | Reward: -20.50 | Avg-100: -290.53
🎮 Episode 75 | Step: 7,221 | Reward: -92.14 | Avg-100: -287.88
🎮 Episode 76 | Step: 7,308 | Reward: -325.02 | Avg-100: -288.37
🎮 Episode 77 | Step: 7,435 | Reward: -370.75 | Avg-100: -289.44
🎮 Episode 78 | Step: 7,453 | Reward: -61.83 | Avg-100: -286.52
🎮 Episode 79 | Step: 7,492 | Reward: -106.00 | Avg-100: -284.24
🎮 Episode 80 | Step: 7,550 | Reward: -177.55 | Avg-100: -282.90
🎮 Episode 81 | Step: 7,610 | Reward: -182.35 | Avg-100: -281.66
🎮 Episode 82 | Step: 7,738 | Reward: -389.40 | Avg-100: -282.98
🎮 Episode 83 | Step: 7,752 | Reward: -68.12 | Avg-100: -280.39
🎮 Episode 84 | Step: 7,797 | Reward: -151.92 | Avg-100: -278.86
🎮 Episode 85 | Step: 7,813 | Reward: -52.49 | Avg-100: -276.19
🎮 Episode 86 | Step: 7,877 | Reward: -181.26 | Avg-100: -275.09
🎮 Episode 87 | Step: 7,911 | Reward: -100.01 | Avg-100: -273.08
🎮 Episode 88 | Step: 7,927 | Reward: -22.99 | Avg-100: -270.24
🎮 Episode 89 | Step: 7,981 | Reward: -155.52 | Avg-100: -268.95
🎮 Episode 90 | Step: 8,033 | Reward: -158.99 | Avg-100: -267.73
🎮 Episode 91 | Step: 8,055 | Reward: -66.44 | Avg-100: -265.51
🎮 Episode 92 | Step: 8,125 | Reward: -140.75 | Avg-100: -264.16
🎮 Episode 93 | Step: 8,142 | Reward: -73.88 | Avg-100: -262.11
🎮 Episode 94 | Step: 8,203 | Reward: -136.92 | Avg-100: -260.78
🎮 Episode 95 | Step: 8,234 | Reward: -76.75 | Avg-100: -258.84
🎮 Episode 96 | Step: 8,334 | Reward: -392.81 | Avg-100: -260.24
🎮 Episode 97 | Step: 8,343 | Reward: -29.42 | Avg-100: -257.86
🎮 Episode 98 | Step: 8,381 | Reward: -111.13 | Avg-100: -256.36
🎮 Episode 99 | Step: 8,420 | Reward: -125.52 | Avg-100: -255.04
🎮 Episode 100 | Step: 8,453 | Reward: -117.54 | Avg-100: -253.66
🎮 Episode 101 | Step: 8,464 | Reward: -45.14 | Avg-100: -253.51
🎮 Episode 102 | Step: 8,518 | Reward: -161.61 | Avg-100: -254.22
🎮 Episode 103 | Step: 8,570 | Reward: -188.26 | Avg-100: -253.22
🎮 Episode 104 | Step: 8,917 | Reward: -1088.74 | Avg-100: -263.12
🎮 Episode 105 | Step: 8,942 | Reward: -78.29 | Avg-100: -263.42
🎮 Episode 106 | Step: 9,008 | Reward: -177.68 | Avg-100: -264.62
🎮 Episode 107 | Step: 9,046 | Reward: -120.05 | Avg-100: -264.87
🎮 Episode 108 | Step: 9,099 | Reward: -220.73 | Avg-100: -266.02
🎮 Episode 109 | Step: 10,099 | Reward: -2931.40 | Avg-100: -293.46
🎮 Episode 110 | Step: 10,151 | Reward: -177.57 | Avg-100: -293.98
🏆 YENİ REKOR! Avg Reward: -293.98
🎮 Episode 111 | Step: 11,151 | Reward: -3371.67 | Avg-100: -326.38
🎮 Episode 112 | Step: 11,220 | Reward: -208.93 | Avg-100: -325.89
🎮 Episode 113 | Step: 11,341 | Reward: -410.54 | Avg-100: -326.63
🎮 Episode 114 | Step: 11,366 | Reward: -63.73 | Avg-100: -325.67
🎮 Episode 115 | Step: 11,420 | Reward: -238.89 | Avg-100: -327.16
🎮 Episode 116 | Step: 11,455 | Reward: -116.67 | Avg-100: -298.08
🎮 Episode 117 | Step: 11,488 | Reward: -122.32 | Avg-100: -297.57
🎮 Episode 118 | Step: 11,513 | Reward: -57.23 | Avg-100: -297.19
🎮 Episode 119 | Step: 11,530 | Reward: -44.80 | Avg-100: -268.81
🎮 Episode 120 | Step: 11,554 | Reward: -75.57 | Avg-100: -266.54
🎮 Episode 121 | Step: 11,575 | Reward: -86.17 | Avg-100: -266.85
🎮 Episode 122 | Step: 11,601 | Reward: -89.83 | Avg-100: -267.25
🎮 Episode 123 | Step: 11,645 | Reward: -137.01 | Avg-100: -267.71
🎮 Episode 124 | Step: 11,731 | Reward: -218.13 | Avg-100: -268.22
🎮 Episode 125 | Step: 11,816 | Reward: -259.73 | Avg-100: -269.46
🎮 Episode 126 | Step: 11,831 | Reward: -42.60 | Avg-100: -269.61
🎮 Episode 127 | Step: 11,861 | Reward: -83.80 | Avg-100: -267.88
🎮 Episode 128 | Step: 11,902 | Reward: -125.83 | Avg-100: -267.86
🎮 Episode 129 | Step: 12,055 | Reward: -476.07 | Avg-100: -272.02
🏆 YENİ REKOR! Avg Reward: -272.02
🎮 Episode 130 | Step: 12,484 | Reward: -1366.74 | Avg-100: -284.41
🎮 Episode 131 | Step: 12,508 | Reward: -82.24 | Avg-100: -284.17
🎮 Episode 132 | Step: 12,574 | Reward: -195.56 | Avg-100: -285.42
🎮 Episode 133 | Step: 12,617 | Reward: -131.53 | Avg-100: -284.96
🎮 Episode 134 | Step: 12,672 | Reward: -143.67 | Avg-100: -285.45
🎮 Episode 135 | Step: 12,712 | Reward: -120.21 | Avg-100: -286.23
🎮 Episode 136 | Step: 12,738 | Reward: -95.65 | Avg-100: -282.99
🎮 Episode 137 | Step: 13,738 | Reward: -3383.73 | Avg-100: -316.16
🎮 Episode 138 | Step: 13,746 | Reward: -24.04 | Avg-100: -315.59
🎮 Episode 139 | Step: 13,798 | Reward: -189.65 | Avg-100: -312.93
🎮 Episode 140 | Step: 13,823 | Reward: -81.96 | Avg-100: -311.00
🎮 Episode 141 | Step: 13,851 | Reward: -103.77 | Avg-100: -309.08
🎮 Episode 142 | Step: 13,868 | Reward: -59.46 | Avg-100: -308.12
🎮 Episode 143 | Step: 13,881 | Reward: -39.83 | Avg-100: -307.20
🎮 Episode 144 | Step: 13,923 | Reward: -162.81 | Avg-100: -308.29
🎮 Episode 145 | Step: 13,955 | Reward: -117.09 | Avg-100: -279.97
🎮 Episode 146 | Step: 14,003 | Reward: -172.48 | Avg-100: -251.04
🎮 Episode 147 | Step: 14,046 | Reward: -156.95 | Avg-100: -252.02
🎮 Episode 148 | Step: 14,096 | Reward: -161.38 | Avg-100: -252.07
🎮 Episode 149 | Step: 14,125 | Reward: -142.96 | Avg-100: -251.46
🎮 Episode 150 | Step: 14,146 | Reward: -41.66 | Avg-100: -249.23
🎮 Episode 151 | Step: 14,219 | Reward: -268.42 | Avg-100: -250.81
🎮 Episode 152 | Step: 14,256 | Reward: -62.72 | Avg-100: -250.73
🎮 Episode 153 | Step: 14,292 | Reward: -91.71 | Avg-100: -249.61
🏆 YENİ REKOR! Avg Reward: -249.61
🎮 Episode 154 | Step: 14,387 | Reward: -273.21 | Avg-100: -250.21
🎮 Episode 155 | Step: 14,412 | Reward: -110.55 | Avg-100: -250.24
🎮 Episode 156 | Step: 14,436 | Reward: -77.58 | Avg-100: -249.46
🎮 Episode 157 | Step: 14,528 | Reward: -355.24 | Avg-100: -252.18
🎮 Episode 158 | Step: 14,554 | Reward: -80.28 | Avg-100: -250.97
🎮 Episode 159 | Step: 14,590 | Reward: -122.14 | Avg-100: -249.83
🎮 Episode 160 | Step: 14,608 | Reward: -61.40 | Avg-100: -249.38
🎮 Episode 161 | Step: 14,655 | Reward: -147.91 | Avg-100: -249.83
🎮 Episode 162 | Step: 15,250 | Reward: -2136.74 | Avg-100: -270.80
🎮 Episode 163 | Step: 15,284 | Reward: -85.65 | Avg-100: -268.69
🎮 Episode 164 | Step: 15,300 | Reward: -30.54 | Avg-100: -267.69
🎮 Episode 165 | Step: 15,353 | Reward: -206.25 | Avg-100: -269.41
🎮 Episode 166 | Step: 15,378 | Reward: -93.07 | Avg-100: -269.51
🎮 Episode 167 | Step: 15,400 | Reward: -79.31 | Avg-100: -269.91
🎮 Episode 168 | Step: 15,412 | Reward: -46.41 | Avg-100: -269.90
🎮 Episode 169 | Step: 15,454 | Reward: -156.49 | Avg-100: -270.05
🎮 Episode 170 | Step: 15,493 | Reward: -182.58 | Avg-100: -270.39
🎮 Episode 171 | Step: 15,598 | Reward: -295.89 | Avg-100: -273.10
🎮 Episode 172 | Step: 15,633 | Reward: -113.36 | Avg-100: -273.97
🎮 Episode 173 | Step: 15,656 | Reward: -77.55 | Avg-100: -274.35
🎮 Episode 174 | Step: 15,734 | Reward: -281.44 | Avg-100: -276.96
🎮 Episode 175 | Step: 15,844 | Reward: -363.67 | Avg-100: -279.68
🎮 Episode 176 | Step: 15,876 | Reward: -113.37 | Avg-100: -277.56
🎮 Episode 177 | Step: 15,944 | Reward: -281.35 | Avg-100: -276.67
🎮 Episode 178 | Step: 15,978 | Reward: -165.55 | Avg-100: -277.71
🎮 Episode 179 | Step: 16,005 | Reward: -105.38 | Avg-100: -277.70
🎮 Episode 180 | Step: 16,054 | Reward: -149.92 | Avg-100: -277.42
🎮 Episode 181 | Step: 16,067 | Reward: -42.40 | Avg-100: -276.02
